Country,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Belgium,,,,,,,,,3660,3985,5461,6553,9430,8837,9544
Bulgaria,,,,,,,,,58,71,58,66,48,51,60
Czechia,,,,,,,,,,784,893,1092,1287,1866,2848
Denmark,,,,,,,,,,,,,,,
Germany,,,,,,,,,15060,12954,11495,13026,14416,19704,16566
Estonia,,,,,,,,,130,167,205,197,255,250,231
Ireland,,,,,,,,,,,37,102,72,108,100
Greece,,,,,,,,,142,193,280,349,367,387,801
Spain,,,,,,,,,,4441,4576,5477,6243,7480,7240
France,,,,,,,,,10549,10169,9943,11400,13807,16035,16244
Croatia,,,,,,,,,1703,1186,1376,2812,1033,1297,1540
Italy,,,,,,,,,,9430,12042,14915,17990,20103,32720
Cyprus,,,,,,,,,40,49,59,72,174,146,114
Latvia,,,,,,,,,,5,18,5,5,16,41
Lithuania,,,,,,,,,497,629,545,439,460,705,917
Luxembourg,,,,,,,,,,,,,,,
Hungary,,,,,,,,,,5069,3622,3242,4301,3860,5892
Malta,,,,,,,,,,187,224,211,320,398,469
Netherlands,,,,,,,,,,2320,2945,4865,,,
Austria,,,,,,,,,13103,3187,2762,7292,12585,15089,21974
Poland,,,,,,,,,3130,2873,2852,5540,6115,6171,7290
Portugal,,,,,,,,,801,976,924,1319,1672,1496,2219
Romania,,,,,,,,,,1074,1320,1226,1203,1502,2157
Slovenia,,,,,,,,,273,202,237,239,222,167,215
Slovakia,,,,,,,,,243,26,57,71,62,72,44
Finland,,,,,,,,,1008,935,918,1142,1594,1972,2280
Sweden,,,,,,,,,7553,7058,8827,9052,8949,11566,9299
Iceland,,,,,,,,,,,,,,,
Liechtenstein,,,,,,,,,,,,,,,
Norway,,,,,,,,,,,,,,,
Switzerland,,,,,,,,,,,,,,,
England and Wales,,,,,,,,,,,,,,,
Scotland (NUTS 2021),,,,,,,,,,,,,,,
Northern Ireland (UK) (NUTS 2021),,,,,,,,,,,,,,,
Bosnia and Herzegovina,,,,,,,,,,,5,8,63,24,24
Montenegro,,,,,,,,,,1,1,6,5,9,5
North Macedonia,,,,,,,,,,,,,,,
Albania,,,,,,,,,84,77,67,84,107,202,152
Serbia,,,,,,,,,,,,,,,
Türkiye,,,,,,,,,,,,,,,
Kosovo*,,,,,,,,,181,154,,,,,
