Country,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Belgium,,,,,,,,,32.36,35.1,47.91,57.2,81.84,76.48,82.15
Bulgaria,,,,,,,,,0.81,1,0.82,0.94,0.69,0.74,0.88
Czechia,,,,,,,,,,7.41,8.42,10.25,12.03,17.44,27.08
Denmark,,,,,,,,,,,,,,,
Germany,,,,,,,,,18.33,15.7,13.88,15.69,17.33,23.7,19.9
Estonia,,,,,,,,,9.88,12.69,15.54,14.87,19.19,18.8,17.34
Ireland,,,,,,,,,,,0.77,2.08,1.45,2.16,1.98
Greece,,,,,,,,,1.32,1.79,2.61,3.25,3.42,3.62,7.66
Spain,,,,,,,,,,9.54,9.81,11.67,13.19,15.78,15.26
France,,,,,,,,,15.83,15.22,14.83,16.97,20.51,23.7,23.93
Croatia,,,,,,,,,40.64,28.55,33.52,68.99,25.45,32.13,39.87
Italy,,,,,,,,,,15.56,19.91,24.93,30.16,33.94,55.43
Cyprus,,,,,,,,,4.72,5.73,6.83,8.22,19.59,16.29,12.6
Latvia,,,,,,,,,,0.26,0.93,0.26,0.26,0.85,2.19
Lithuania,,,,,,,,,17.21,22.09,19.4,15.71,16.46,25.22,32.68
Luxembourg,,,,,,,,,,,,,,,
Hungary,,,,,,,,,,51.74,37.04,33.17,44.02,39.67,60.81
Malta,,,,,,,,,,40.63,47.09,42.75,62.19,77.12,90.02
Netherlands,,,,,,,,,,13.58,17.14,28.15,,,
Austria,,,,,,,,,150.6,36.33,31.31,82.31,141.39,168.92,244.73
Poland,,,,,,,,,8.24,7.57,7.51,14.59,16.11,16.31,19.36
Portugal,,,,,,,,,7.75,9.47,8.98,12.83,16.24,14.53,21.44
Romania,,,,,,,,,,5.47,6.76,6.31,6.22,7.82,11.33
Slovenia,,,,,,,,,13.23,9.78,11.47,11.49,10.59,7.92,10.2
Slovakia,,,,,,,,,4.48,0.48,1.05,1.3,1.14,1.32,0.81
Finland,,,,,,,,,18.37,16.99,16.65,20.7,28.85,35.64,41.09
Sweden,,,,,,,,,76.67,70.61,87.22,88.48,86.65,111.43,88.97
Iceland,,,,,,,,,,,,,,,
Liechtenstein,,,,,,,,,,,,,,,
Norway,,,,,,,,,,,,,,,
Switzerland,,,,,,,,,,,,,,,
England and Wales,,,,,,,,,,,,,,,
Scotland (NUTS 2021),,,,,,,,,,,,,,,
Northern Ireland (UK) (NUTS 2021),,,,,,,,,,,,,,,
Bosnia and Herzegovina,,,,,,,,,,,,,,,
Montenegro,,,,,,,,,,0.16,0.16,0.96,0.8,1.45,0.81
North Macedonia,,,,,,,,,,,,,,,
Albania,,,,,,,,,2.92,2.68,2.33,2.93,3.76,7.14,5.44
Serbia,,,,,,,,,,,,,,,
Türkiye,,,,,,,,,,,,,,,
Kosovo*,,,,,,,,,10.22,8.63,,,,,
