Country,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Belgium,,,,,,,,,96,100,97,100,73,90,69
Bulgaria,,,,,,,,,132,139,167,130,118,101,105
Czechia,,,,,,,,,98,92,281,122,115,95,180
Denmark,,,,,,,,,53,27,315,46,13,53,10
Germany,,,,,,,,,6502,3850,3970,4147,4170,5110,4928
Estonia,,,,,,,,,,165,177,37,40,41,108
Ireland,,,,,,,,,,,,,,,
Greece,,,,,,,,,,119,231,190,64,253,131
Spain,,,,,,,,,76,72,80,54,47,139,175
France,,,,,,,,,190,204,231,230,204,265,240
Croatia,,,,,,,,,222,193,45,39,61,103,342
Italy,,,,,,,,,525,533,408,460,409,343,355
Cyprus,,,,,,,,,38,30,16,14,11,12,23
Latvia,,,,,,,,,232,125,147,103,121,147,150
Lithuania,,,,,,,,,62,86,38,76,313,350,337
Luxembourg,,,,,,,,,5,1,3,1,5,4,0
Hungary,,,,,,,,,968,1005,1871,387,2025,6148,818
Malta,,,,,,,,,1,1,2,1,1,6,5
Netherlands,,,,,,,,,,,,,,,
Austria,,,,,,,,,20,30,24,38,37,57,148
Poland,,,,,,,,,6166,5013,8989,4085,5065,4957,3072
Portugal,,,,,,,,,69,84,71,70,62,100,56
Romania,,,,,,,,,1173,855,658,647,679,763,429
Slovenia,,,,,,,,,199,80,108,185,298,187,191
Slovakia,,,,,,,,,71,128,67,62,66,96,68
Finland,,,,,,,,,25,17,27,13,267,23,22
Sweden,,,,,,,,,251,287,441,161,152,400,173
Iceland,,,,,,,,,,,,,,,
Liechtenstein,,,,,,,,,0,,,,,,
Norway,,,,,,,,,,,,,,,
Switzerland,,,,,,,,,20,25,18,13,20,60,57
England and Wales,,,,,,,,,,,,,,,
Scotland (NUTS 2021),,,,,,,,,,,,,,,
Northern Ireland (UK) (NUTS 2021),,,,,,,,,,,,,,,
Bosnia and Herzegovina,,,,,,,,,29,17,31,81,339,131,92
Montenegro,,,,,,,,,20,4,4,1,6,8,12
North Macedonia,,,,,,,,,,,,7,6,7,16
Albania,,,,,,,,,256,297,274,305,161,263,494
Serbia,,,,,,,,,147,147,295,219,180,195,145
Türkiye,,,,,,,,,1716,,,,,,
Kosovo*,,,,,,,,,48,44,39,20,40,,
