Country,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Belgium,,,,,,,,,0.85,0.88,0.85,0.87,0.63,0.78,0.59
Bulgaria,,,,,,,,,1.85,1.96,2.37,1.86,1.7,1.46,1.54
Czechia,,,,,,,,,0.93,0.87,2.65,1.15,1.08,0.89,1.71
Denmark,,,,,,,,,0.93,0.47,5.45,0.79,0.22,0.91,0.17
Germany,,,,,,,,,7.91,4.67,4.8,5,5.01,6.15,5.92
Estonia,,,,,,,,,,12.54,13.42,2.79,3.01,3.08,8.11
Ireland,,,,,,,,,,,,,,,
Greece,,,,,,,,,,1.11,2.15,1.77,0.6,2.37,1.25
Spain,,,,,,,,,0.16,0.15,0.17,0.12,0.1,0.29,0.37
France,,,,,,,,,0.29,0.31,0.34,0.34,0.3,0.39,0.35
Croatia,,,,,,,,,5.3,4.65,1.1,0.96,1.5,2.55,8.85
Italy,,,,,,,,,0.87,0.88,0.67,0.77,0.69,0.58,0.6
Cyprus,,,,,,,,,4.48,3.51,1.85,1.6,1.24,1.34,2.54
Latvia,,,,,,,,,11.78,6.41,7.6,5.36,6.34,7.76,8
Lithuania,,,,,,,,,2.15,3.02,1.35,2.72,11.2,12.52,12.01
Luxembourg,,,,,,,,,0.87,0.17,0.5,0.16,0.8,0.63,0
Hungary,,,,,,,,,9.85,10.26,19.13,3.96,20.73,63.18,8.44
Malta,,,,,,,,,0.22,0.22,0.42,0.2,0.19,1.16,0.96
Netherlands,,,,,,,,,,,,,,,
Austria,,,,,,,,,0.23,0.34,0.27,0.43,0.42,0.64,1.65
Poland,,,,,,,,,16.24,13.2,23.67,10.76,13.34,13.1,8.16
Portugal,,,,,,,,,0.67,0.81,0.69,0.68,0.6,0.97,0.54
Romania,,,,,,,,,5.94,4.35,3.37,3.33,3.51,3.97,2.25
Slovenia,,,,,,,,,9.64,3.87,5.23,8.89,14.22,8.87,9.06
Slovakia,,,,,,,,,1.31,2.35,1.23,1.14,1.21,1.76,1.25
Finland,,,,,,,,,0.46,0.31,0.49,0.24,4.83,0.42,0.4
Sweden,,,,,,,,,2.55,2.87,4.36,1.57,1.47,3.85,1.66
Iceland,,,,,,,,,,,,,,,
Liechtenstein,,,,,,,,,0,,,,,,
Norway,,,,,,,,,,,,,,,
Switzerland,,,,,,,,,0.24,0.3,0.21,0.15,0.23,0.69,0.65
England and Wales,,,,,,,,,,,,,,,
Scotland (NUTS 2021),,,,,,,,,,,,,,,
Northern Ireland (UK) (NUTS 2021),,,,,,,,,,,,,,,
Bosnia and Herzegovina,,,,,,,,,,,,,,,
Montenegro,,,,,,,,,3.21,0.64,0.64,0.16,0.96,1.29,1.94
North Macedonia,,,,,,,,,,,,0.34,0.29,0.34,0.87
Albania,,,,,,,,,8.9,10.32,9.55,10.66,5.66,9.29,17.68
Serbia,,,,,,,,,2.08,2.09,4.21,3.14,2.6,2.84,2.13
Türkiye,,,,,,,,,2.18,,,,,,
Kosovo*,,,,,,,,,2.71,2.47,2.17,1.11,2.24,,
