Country,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Belgium,64061,69456,63598,70037,75640,75481,72675,65716,55367,52331,51337,47866,33966,33783,39128
Bulgaria,6745,7963,8338,6558,6456,6396,5345,4433,,,6595,5587,4736,3945,4350
Czechia,4634,4790,5374,5257,5479,15958,12832,9448,8026,7233,6029,6525,5512,5221,5893
Denmark,58790,66881,62450,63390,57927,56526,50646,45726,44379,40391,39821,34946,27139,23025,22932
Germany,108284,113800,121347,132595,144117,149500,152123,167136,151265,116540,97504,87145,75023,54236,65908
Estonia,3321,3027,3196,2792,2718,2132,2072,1662,1328,965,755,600,582,491,528
Ireland,,,,,,,,,,,,,,,
Greece,17953,18849,24603,27569,28193,25549,22881,24022,23420,9894,8527,9215,6425,5915,6376
Spain,93920,97852,110231,100780,126425,127444,121779,115302,113299,105095,107166,98326,72380,75501,86515
France,166250,179408,189947,220049,238088,250432,235619,231785,241199,,,,,,
Croatia,2714,2777,4108,4616,5664,5996,4944,4909,4409,4534,4514,3856,3237,2567,2237
Italy,150761,150843,169163,204891,237355,251422,255886,234726,214053,195824,191374,165329,109503,124715,133802
Cyprus,,,,1961,2010,1785,1625,1362,1088,923,,,,,
Latvia,1717,1809,800,,731,703,432,255,1733,1429,1283,1028,833,522,475
Lithuania,6076,5799,4905,4081,3526,3265,3342,2999,2657,2590,1983,1641,1224,822,812
Luxembourg,1492,1639,1352,2154,1862,2228,3315,2696,2123,,,,1076,1147,
Hungary,19239,17625,21979,22534,23739,21606,24126,20291,,,,,,,
Malta,674,667,703,734,809,636,756,589,638,707,737,727,519,463,390
Netherlands,91245,94580,78830,82890,85810,85475,71235,66325,56725,49330,42140,39315,31735,24100,23695
Austria,17180,19718,14646,15616,15479,16548,17110,15516,12975,11750,9751,8798,6521,4567,6016
Poland,20892,22194,24123,25544,26825,22881,12563,11415,,21120,19390,18821,18265,17902,
Portugal,29663,26045,26653,28307,25151,22206,19312,16186,14369,12300,12161,10961,9168,8420,9276
Romania,10285,11574,14197,16311,15292,15085,25592,15115,14835,14477,16584,16583,15258,15042,14871
Slovenia,2036,2231,2563,2486,2717,3815,3670,3117,3184,2905,2615,2520,2673,1373,1577
Slovakia,2118,2330,3495,3024,3163,3226,2708,1924,1764,1645,1324,992,951,761,933
Finland,5978,6497,6453,6672,6281,5748,6365,5970,5299,4771,4926,4536,4724,3898,3591
Sweden,37870,39700,40562,42847,39552,40654,37978,42493,42221,43401,36929,34558,39244,36096,34419
Iceland,,968,941,613,453,382,389,402,309,383,508,,388,490,
Liechtenstein,105,193,,90,51,92,116,102,77,,,,,,
Norway,8125,9035,7284,5790,5987,5458,5035,,,,,,,,
Switzerland,,26101,25074,28485,35801,39672,36697,30664,26047,24081,23426,21351,18405,18234,20788
England and Wales,284431,268606,258165,245312,227276,211988,196554,194375,206144,249527,236519,,,,
Scotland (NUTS 2021),17223,16727,17657,17375,15656,16334,15166,13051,12036,10893,9573,,,,
Northern Ireland (UK) (NUTS 2021),7041,7524,7116,6957,5868,5804,5713,6101,4963,,,,,,
Bosnia and Herzegovina,,3673,,,,146,,1181,,,,,549,401,330
Montenegro,,,,,,,,,,,,,,,
North Macedonia,1346,1612,1610,2160,1987,2639,2881,,,,,,,,
Albania,697,757,957,979,1238,1277,1657,1387,1216,1145,1218,1157,894,744,601
Serbia,6009,6121,5946,6925,6738,6796,6107,5511,7897,6516,5929,4944,3729,3718,3465
Türkiye,,44244,46493,47532,54179,,,,,,74140,62842,58400,56476,59583
Kosovo*,2376,2305,2977,3329,3256,6566,5348,4207,4467,,,,,,
