Country,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Belgium,93363,97121,91395,97620,102451,99934,96419,91761,78953,75151,71176,66045,47667,45940,51698
Bulgaria,19980,23682,24005,20272,16781,17163,15327,12035,10161,8847,7664,6226,5344,4134,4340
Czechia,53381,54848,58758,59672,55554,62384,49304,34476,28220,24127,21151,22161,20661,30748,33750
Denmark,93578,106972,96683,91732,80930,78955,69637,63343,60136,54922,54868,48257,38493,30433,31589
Germany,390367,386647,397341,421243,430211,437520,446073,463929,432730,365182,326409,311231,298357,243174,260605
Estonia,,,,,,,,,,,,,,,
Ireland,25262,27502,26095,28190,28439,26291,27679,25712,18082,18765,16621,16415,10575,8383,9182
Greece,37006,39832,52411,59624,57476,49157,43647,45795,44682,19593,17626,19497,13892,13363,14224
Spain,174761,191853,200388,195735,222701,222069,207124,192243,187741,173883,174867,165235,133704,127572,148712
France,307744,320418,327330,345500,364462,385511,379153,379253,366480,365731,339333,334519,279437,269431,296218
Croatia,17471,17080,18452,19237,19219,18483,15302,14968,12403,12821,10906,10832,8936,7594,7156
Italy,,,,,,,,,,,,,,,
Cyprus,2587,2504,3232,3422,3000,2707,2366,1979,1721,1470,1250,1190,872,864,1128
Latvia,2817,2876,1535,,977,955,612,501,6365,5231,4877,4210,3803,2779,2762
Lithuania,,,,,,3265,3342,2999,2657,2590,1983,1641,1224,822,812
Luxembourg,2789,2951,2413,3579,3163,3399,4368,2111,1892,2024,3667,3531,2984,3106,4090
Hungary,43002,37698,44250,45273,46857,37688,29883,28595,,,,,,,
Malta,1334,1161,1208,1306,1285,1185,1245,1041,1078,1267,1211,1270,1036,873,896
Netherlands,287645,283785,123355,124470,121055,120470,103365,96590,84605,74695,63100,58950,49845,37185,37315
Austria,104296,107407,88508,84277,85238,88703,85487,79152,80503,69259,58637,54324,48437,40385,49592
Poland,124066,135383,140085,135611,127961,118534,106896,94680,79928,67712,69148,71392,74502,73474,70256
Portugal,53751,49317,50650,52086,43843,38390,34612,29386,26193,22873,22832,21432,19133,16406,16941
Romania,10285,11574,14197,16311,19526,19573,51116,29562,27332,27177,30459,29144,25741,26016,25449
Slovenia,15310,15510,13430,13696,14106,15370,13603,10251,10707,8752,8397,8337,8281,4744,5605
Slovakia,15159,15394,14783,12884,11855,11167,9427,6862,6260,5720,4528,3695,3725,3247,3521
Finland,24634,25683,25029,25851,24308,9593,10411,10051,8629,7807,7854,7501,7790,6345,5810
Sweden,94278,95824,92722,94316,88066,85453,83517,90059,89055,89981,77914,75450,81140,73016,69327
Iceland,2731,3524,2866,1900,1374,1092,1143,1273,1038,1060,1286,1161,1059,1048,1086
Liechtenstein,107,195,102,98,140,125,222,168,141,127,140,107,59,111,138
Norway,22014,23676,21298,17983,17391,15740,14890,,,,,,,,
Switzerland,57018,64268,62243,65172,73714,68730,63706,52569,46539,41351,38871,36419,32819,31186,35732
England and Wales,581584,540645,522683,501048,459795,443212,410857,401002,412086,437650,422870,,,,
Scotland (NUTS 2021),25496,23774,25017,24222,21515,22272,20607,17637,16299,15130,13777,,,,
Northern Ireland (UK) (NUTS 2021),12040,12699,11852,11242,9521,9125,8889,9166,7394,6820,6388,,,,
Bosnia and Herzegovina,3846,12617,3474,14619,13080,12107,10386,9361,7173,5739,5207,4823,4680,4200,3820
Montenegro,1633,1673,1381,1234,1383,1181,951,939,847,903,681,624,439,460,462
North Macedonia,11627,11500,13399,14465,14985,15109,13108,,,,,,,,
Albania,144,169,231,265,322,365,295,231,151,,,,,746,607
Serbia,14040,14201,15177,17430,17606,31694,26788,22501,19682,16844,14453,11911,9499,9825,9491
Türkiye,,85050,94289,100644,119533,,,,,,120400,103663,95767,95471,107549
Kosovo*,6155,5893,7019,7604,6989,7655,7379,5681,5954,5172,5202,4157,3839,3584,
