Country,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Belgium,875.26,903.19,843.13,887.4,923.41,895.33,862.36,816.58,698.01,662.02,624.43,576.53,413.69,397.58,445
Bulgaria,265.76,317.15,323.44,275.08,229.02,235.61,211.53,167.1,142.04,124.57,108.71,88.94,76.88,59.77,63.46
Czechia,516.09,526.08,561.63,569.02,528.81,593.22,469.01,327.15,267.39,228.07,199.35,208.09,193.2,292.98,320.92
Denmark,1708.94,1940.9,1746.84,1649.67,1450.22,1409.25,1237.5,1119.19,1053.68,955.37,949.08,831.15,661.08,521.11,537.83
Germany,474.8,471.51,485.73,525.1,535.57,543.34,552.29,571.36,526.59,442.53,394.25,374.89,358.75,292.43,313.09
Estonia,,,,,,,,,,,,,,,
Ireland,566.69,608.27,573.58,616.73,620.57,572.65,596.81,549.68,382.58,392.21,344.09,334.71,213.01,167.45,181.46
Greece,334.56,359.02,471.35,536.02,518.44,446.74,399.45,421.76,414.35,181.95,164.1,181.8,129.61,125.14,135.99
Spain,382.67,414.91,431.07,419.43,475.67,475.24,445.31,413.87,404.26,373.72,374.78,352.04,282.48,269.15,313.52
France,480.8,497.93,506.24,531.71,558.33,587.67,574.98,570.41,549.95,547.42,506.27,497.96,415.09,398.23,436.44
Croatia,405.17,396.31,428.83,448.43,449.46,433.66,360.32,354.25,295.97,308.63,265.64,265.73,220.2,188.14,185.28
Italy,,,,,,,,,,,,,,,
Cyprus,333.23,314.21,394.56,407.5,348.02,312.63,275.76,233.65,202.87,171.97,144.64,135.86,98.2,96.43,124.68
Latvia,128.52,132.97,72.39,,47.78,47.19,30.58,25.23,323.27,268.24,252.12,219.27,199.35,146.79,147.25
Lithuania,,,,,,109.86,113.54,102.66,91.98,90.94,70.6,58.73,43.81,29.4,28.94
Luxembourg,576.48,597.97,480.61,699.24,602.64,632.91,794.64,374.98,328.33,342.66,609.13,575.18,476.6,489.34,633.72
Hungary,428.08,375.82,441.87,453.38,471.78,380.35,302.54,290.14,,,,,,,
Malta,327.1,282.53,291.77,314.71,307.75,280.47,289.92,236.76,239.33,275.26,254.57,257.31,201.34,169.15,171.99
Netherlands,1753.36,1721.39,744.22,747.31,723.57,717.96,614.2,571.51,498.29,437.29,367.26,341.1,286.34,212.78,212.13
Austria,1255.37,1288.63,1059.77,1006.27,1013.76,1049.51,1004.91,922.92,926.38,789.47,664.65,613.22,544.17,452.1,552.32
Poland,325.5,355,368.42,356.28,336.18,311.42,281.17,249.12,210.52,178.32,182.08,188.01,196.27,194.17,186.58
Portugal,509.33,466.88,479.03,492.65,415.87,366.06,331.94,283.24,253.28,221.86,221.86,208.55,185.83,159.31,163.65
Romania,49.84,56.62,66.15,76.17,97.16,97.77,256.26,148.77,138.32,138.35,155.96,150.11,133.17,135.49,133.64
Slovenia,761.59,763.15,656.09,668.04,686.26,746.54,659.99,496.93,518.7,423.64,406.26,400.64,395.11,224.94,266
Slovakia,281.97,286.01,274.25,238.93,219.36,206.38,174.06,126.57,115.37,105.24,83.19,67.79,68.25,59.47,64.79
Finland,464.75,482.19,467.7,480.92,450.04,176.77,190.98,183.69,157.25,141.86,142.46,135.94,140.99,114.66,104.72
Sweden,1026.67,1035.22,992.67,1001.7,928.69,894.24,865.92,923.93,904.02,900.25,769.88,737.52,785.66,703.48,663.27
Iceland,865.72,1103.43,902.31,596.64,429.95,339.28,350.97,386.81,312.15,313.29,369.06,325.22,290.83,284.17,288.64
Liechtenstein,302.64,547.92,284.17,271.1,383.82,339.32,597.92,449.61,374.78,335.89,367.32,278.81,152.27,284.21,351.07
Norway,464.71,493.33,438.39,365.49,348.81,311.6,291.51,,,,,,,,
Switzerland,750.87,834.44,799.44,828.09,926.67,854.95,782.66,638.15,558.88,491.13,458.16,426.23,381.35,359.69,408.89
England and Wales,1064.87,982.29,942.37,895.81,815.67,780.87,718.55,695.62,708.87,747.32,717.21,,,,
Scotland (NUTS 2021),491.63,455.71,476.83,458.7,405.46,418.64,386.08,329.26,303.15,279.42,253.4,,,,
Northern Ireland (UK) (NUTS 2021),680.09,710.96,658.8,621.26,523.44,499.55,483.81,496.24,397.84,365.36,340.52,,,,
Bosnia and Herzegovina,100.06,328.23,90.37,380.39,340.69,,,,,,,,,,
Montenegro,265.29,271.08,223.1,199.08,222.95,190.21,153.01,150.94,136.13,145.09,109.42,100.29,70.59,74.11,74.8
North Macedonia,568.51,561.35,652.74,703.11,727.5,732.63,634.53,,,,,,,,
Albania,4.54,5.31,,9.36,,,10.18,7.98,5.23,,,,,26.36,21.73
Serbia,190.62,193.61,207.71,240.36,243.96,441.33,374.83,316.27,278.14,239.25,206.43,171.04,137.14,142.98,139.63
Türkiye,,118.92,129.94,136.52,159.97,,,,,,148.99,126.41,115.17,114.18,127.01
Kosovo*,285.86,270.24,317.87,423.81,,,,,336.08,289.99,289.24,231.5,215.42,,
