Country,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Belgium,,,,,,,,,1323,1729,1875,2651,2120,1800,
Bulgaria,,,,,,,,,19,30,27,19,23,27,
Czechia,,,,,,,,,360,489,649,728,666,627,
Denmark,,,,,,,,,239,1752,1593,1505,1815,2051,
Germany,,,,,,,,,,6672,7682,12517,19036,39442,
Estonia,,,,,,,,,118,154,184,175,156,231,
Ireland,,,,,,,,,286,340,398,500,449,506,
Greece,,,,,,,,,258,164,282,329,233,211,
Spain,,,,,,,,,621,767,892,866,762,739,
France,,,,,,,,,2409,2981,3645,4435,4858,5336,
Croatia,,,,,,,,,107,140,231,251,320,458,
Italy,,,,,,,,,513,581,628,823,1101,1241,
Cyprus,,,,,,,,,77,96,122,104,154,166,
Latvia,,,,,,,,,312,158,159,189,191,227,
Lithuania,,,,,,,,,136,148,163,189,231,204,
Luxembourg,,,,,,,,,,,,,,,
Hungary,,,,,,,,,270,1433,209,248,269,390,
Malta,,,,,,,,,3,8,4,2,8,20,
Netherlands,,,,,,,,,,,,,,,
Austria,,,,,,,,,685,740,1172,1681,1710,1930,
Poland,,,,,,,,,1997,1927,3490,13615,5367,4005,
Portugal,,,,,,,,,,,,,,,
Romania,,,,,,,,,,241,222,363,498,467,
Slovenia,,,,,,,,,110,187,141,134,150,175,
Slovakia,,,,,,,,,162,242,324,286,403,295,
Finland,,,,,,,,,143,111,126,185,545,405,
Sweden,,,,,,,,,1337,2751,915,1426,2337,3221,
Iceland,,,,,,,,,,,3,5,33,44,
Liechtenstein,,,,,,,,,,,,,,15,
Norway,,,,,,,,,412,909,1239,852,1054,1510,
Switzerland,,,,,,,,,,,,,1553,1468,
England and Wales,,,,,,,,,,,,,,,
Scotland (NUTS 2021),,,,,,,,,,,,,,,
Northern Ireland (UK) (NUTS 2021),,,,,,,,,,,,,,,
Bosnia and Herzegovina,,,,,,,,,,,,33,,34,
Montenegro,,,,,,,,,,3,,5,,4,
North Macedonia,,,,,,,,,,,,,,,
Albania,,,,,,,,,5,4,3,5,10,124,
Serbia,,,,,,,,,60,52,42,64,80,138,
Türkiye,,,,,,,,,,,,,,,
Kosovo*,,,,,,,,,6,6,8,4,5,10,
