Country,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Belgium,,,,,,,,,11.7,15.23,16.45,23.14,18.4,15.58,
Bulgaria,,,,,,,,,0.27,0.42,0.38,0.27,0.33,0.39,
Czechia,,,,,,,,,3.41,4.62,6.12,6.84,6.23,5.97,
Denmark,,,,,,,,,4.19,30.48,27.55,25.92,31.17,35.12,
Germany,,,,,,,,,,8.09,9.28,15.08,22.89,47.43,
Estonia,,,,,,,,,8.97,11.71,13.95,13.21,11.74,17.37,
Ireland,,,,,,,,,6.05,7.11,8.24,10.2,9.04,10.11,
Greece,,,,,,,,,2.39,1.52,2.63,3.07,2.17,1.98,
Spain,,,,,,,,,1.34,1.65,1.91,1.85,1.61,1.56,
France,,,,,,,,,3.62,4.46,5.44,6.6,7.22,7.89,
Croatia,,,,,,,,,2.55,3.37,5.63,6.16,7.89,11.35,
Italy,,,,,,,,,0.85,0.96,1.04,1.38,1.85,2.1,
Cyprus,,,,,,,,,9.08,11.23,14.12,11.87,17.34,18.53,
Latvia,,,,,,,,,15.85,8.1,8.22,9.84,10.01,11.99,
Lithuania,,,,,,,,,4.71,5.2,5.8,6.76,8.27,7.3,
Luxembourg,,,,,,,,,,,,,,,
Hungary,,,,,,,,,2.75,14.63,2.14,2.54,2.75,4.01,
Malta,,,,,,,,,0.67,1.74,0.84,0.41,1.55,3.88,
Netherlands,,,,,,,,,,,,,,,
Austria,,,,,,,,,7.87,8.44,13.28,18.98,19.21,21.61,
Poland,,,,,,,,,5.26,5.07,9.19,35.85,14.14,10.58,
Portugal,,,,,,,,,,,,,,,
Romania,,,,,,,,,,1.23,1.14,1.87,2.58,2.43,
Slovenia,,,,,,,,,5.33,9.05,6.82,6.44,7.16,8.3,
Slovakia,,,,,,,,,2.99,4.45,5.95,5.25,7.38,5.4,
Finland,,,,,,,,,2.61,2.02,2.29,3.35,9.86,7.32,
Sweden,,,,,,,,,13.57,27.52,9.04,13.94,22.63,31.03,
Iceland,,,,,,,,,,,0.86,1.4,9.06,11.93,
Liechtenstein,,,,,,,,,,,,,,38.41,
Norway,,,,,,,,,7.9,17.29,23.4,15.99,19.64,28.01,
Switzerland,,,,,,,,,,,,,18.05,16.93,
England and Wales,,,,,,,,,,,,,,,
Scotland (NUTS 2021),,,,,,,,,,,,,,,
Northern Ireland (UK) (NUTS 2021),,,,,,,,,,,,,,,
Bosnia and Herzegovina,,,,,,,,,,,,,,,
Montenegro,,,,,,,,,,0.48,,0.8,,0.64,
North Macedonia,,,,,,,,,,,,,,,
Albania,,,,,,,,,0.17,0.14,0.1,0.17,0.35,4.38,
Serbia,,,,,,,,,0.85,0.74,0.6,0.92,1.15,2.01,
Türkiye,,,,,,,,,,,,,,,
Kosovo*,,,,,,,,,0.34,0.34,0.44,0.22,0.28,0.56,
