Country,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Belgium,,,,,,,,,5158,4596,4729,4849,4333,4863,5020
Bulgaria,,,,,,,,,223,233,673,585,486,565,534
Czechia,,,,,,,,,2959,2723,2596,2339,1689,1396,1610
Denmark,,,,,,,,,5246,3717,4833,5060,3873,4777,3481
Germany,,,,,,,,,6502,3850,3970,4147,4170,5110,4928
Estonia,,,,,,,,,,291,376,72,81,87,165
Ireland,,,,,,,,,,4,6,5,7,8,4
Greece,,,,,,,,,,902,658,614,607,757,652
Spain,,,,,,,,,1144,1127,974,884,762,1032,1395
France,,,,,,,,,2007,1966,2356,2395,2287,2734,2504
Croatia,,,,,,,,,905,761,515,785,538,912,1187
Italy,,,,,,,,,21303,3572,3367,3469,3770,3842,3671
Cyprus,,,,,,,,,41,31,17,15,13,12,24
Latvia,,,,,,,,,287,185,242,354,182,205,195
Lithuania,,,,,,,,,761,749,555,495,551,624,525
Luxembourg,,,,,,,,,5,1,3,1,5,4,0
Hungary,,,,,,,,,1165,1281,2238,1806,2377,6516,1111
Malta,,,,,,,,,5,3,8,4,16,26,23
Netherlands,,,,,,,,,6905,6740,6630,6605,5890,5285,5415
Austria,,,,,,,,,3151,3209,3113,3158,2879,2915,3085
Poland,,,,,,,,,7092,7417,10036,6241,7505,6109,5373
Portugal,,,,,,,,,152,176,166,170,154,212,175
Romania,,,,,,,,,1401,5435,4379,4090,3414,4017,3935
Slovenia,,,,,,,,,1159,971,213,219,312,248,623
Slovakia,,,,,,,,,105,167,151,136,131,186,137
Finland,,,,,,,,,3667,3565,3846,3960,4041,3700,3672
Sweden,,,,,,,,,21037,21095,21031,20617,19791,21281,19490
Iceland,,,,,,,,,,,,,,,
Liechtenstein,,,,,,,,,4,6,14,11,10,14,11
Norway,,,,,,,,,46,82,36,47,40,31,41
Switzerland,,,,,,,,,3749,3389,19,14,21,60,57
England and Wales,,,,,,,,,,,,,,,
Scotland (NUTS 2021),,,,,,,,,,,,,,,
Northern Ireland (UK) (NUTS 2021),,,,,,,,,,,,,,,
Bosnia and Herzegovina,,,,,,,,,397,383,430,751,903,779,694
Montenegro,,,,,,,,,80,76,242,172,154,178,336
North Macedonia,,,,,,,,,,,,7,6,7,16
Albania,,,,,,,,,1032,1154,1033,1330,847,977,1180
Serbia,,,,,,,,,1348,1500,1179,1053,746,1171,983
Türkiye,,,,,,,,,4964,,,,,,
Kosovo*,,,,,,,,,260,,,,,,
