Country,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Belgium,,,,,,,,,45.6,40.49,41.49,42.33,37.6,42.09,43.21
Bulgaria,,,,,,,,,3.12,3.28,9.55,8.36,6.99,8.17,7.81
Czechia,,,,,,,,,28.04,25.74,24.47,21.96,15.79,13.3,15.31
Denmark,,,,,,,,,91.92,64.66,83.6,87.15,66.51,81.8,59.27
Germany,,,,,,,,,7.91,4.67,4.8,5,5.01,6.15,5.92
Estonia,,,,,,,,,,22.12,28.5,5.43,6.09,6.54,12.39
Ireland,,,,,,,,,,0.08,0.12,0.1,0.14,0.16,0.08
Greece,,,,,,,,,,8.38,6.13,5.73,5.66,7.09,6.23
Spain,,,,,,,,,2.46,2.42,2.09,1.88,1.61,2.18,2.94
France,,,,,,,,,3.01,2.94,3.52,3.57,3.4,4.04,3.69
Croatia,,,,,,,,,21.6,18.32,12.54,19.26,13.26,22.59,30.73
Italy,,,,,,,,,35.12,5.9,5.57,5.8,6.32,6.49,6.22
Cyprus,,,,,,,,,4.83,3.63,1.97,1.71,1.46,1.34,2.65
Latvia,,,,,,,,,14.58,9.49,12.51,18.44,9.54,10.83,10.4
Lithuania,,,,,,,,,26.35,26.3,19.76,17.72,19.72,22.32,18.71
Luxembourg,,,,,,,,,0.87,0.17,0.5,0.16,0.8,0.63,0
Hungary,,,,,,,,,11.85,13.07,22.89,18.48,24.33,66.96,11.47
Malta,,,,,,,,,1.11,0.65,1.68,0.81,3.11,5.04,4.41
Netherlands,,,,,,,,,40.67,39.46,38.59,38.22,33.84,30.24,30.78
Austria,,,,,,,,,36.22,36.58,35.29,35.65,32.34,32.63,34.36
Poland,,,,,,,,,18.68,19.53,26.43,16.44,19.77,16.14,14.27
Portugal,,,,,,,,,1.47,1.71,1.61,1.65,1.5,2.06,1.69
Romania,,,,,,,,,7.09,27.67,22.42,21.07,17.66,20.92,20.66
Slovenia,,,,,,,,,56.15,47,10.31,10.52,14.89,11.76,29.57
Slovakia,,,,,,,,,1.94,3.07,2.77,2.5,2.4,3.41,2.52
Finland,,,,,,,,,66.83,64.78,69.76,71.77,73.14,66.86,66.18
Sweden,,,,,,,,,213.55,211.05,207.81,201.53,191.63,205.03,186.47
Iceland,,,,,,,,,,,,,,,
Liechtenstein,,,,,,,,,10.63,15.87,36.73,28.66,25.81,35.85,27.98
Norway,,,,,,,,,0.88,1.56,0.68,0.88,0.75,0.57,0.76
Switzerland,,,,,,,,,45.02,40.25,0.22,0.16,0.24,0.69,0.65
England and Wales,,,,,,,,,,,,,,,
Scotland (NUTS 2021),,,,,,,,,,,,,,,
Northern Ireland (UK) (NUTS 2021),,,,,,,,,,,,,,,
Bosnia and Herzegovina,,,,,,,,,,,,,,,
Montenegro,,,,,,,,,12.86,12.21,38.88,27.64,24.76,28.68,54.4
North Macedonia,,,,,,,,,,,,0.34,0.29,0.34,0.87
Albania,,,,,,,,,35.89,40.12,35.99,46.46,29.76,34.53,42.24
Serbia,,,,,,,,,19.05,21.31,16.84,15.12,10.77,17.04,14.46
Türkiye,,,,,,,,,6.3,,,,,,
Kosovo*,,,,,,,,,14.68,,,,,,
