Country,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Belgium,,,,,,,,,55597,57995,66051,81271,95733,101776,113525
Bulgaria,,,,,,,,,3605,3370,2850,2103,1671,1639,2299
Czechia,,,,,,,,,9836,8752,8449,9179,7952,11715,16100
Denmark,,,,,,,,,39282,43938,43348,47627,53864,45482,57183
Germany,,,,,,,,,899043,910352,840783,832966,808074,793622,801412
Estonia,,,,,,,,,1685,1561,1453,1813,1845,2852,2612
Ireland,,,,,,,,,4902,3944,4552,5635,5900,15212,10256
Greece,,,,,,,,,3790,3253,3184,3208,4059,8546,10284
Spain,,,,,,,,,183005,214595,289182,327616,360551,363203,438207
France,,,,,,,,,197720,173909,180411,205673,230854,270511,259497
Croatia,,,,,,,,,3806,2639,3088,3298,2507,2948,3488
Italy,,,,,,,,,182103,194068,218865,278958,353688,440418,410198
Cyprus,,,,,,,,,232,246,227,221,244,410,478
Latvia,,,,,,,,,1786,1503,1758,1580,1731,2973,2322
Lithuania,,,,,,,,,2870,2999,2783,2981,2688,3278,3968
Luxembourg,,,,,,,,,989,588,646,744,1475,2299,4689
Hungary,,,,,,,,,45000,25389,21075,16936,15451,15458,20844
Malta,,,,,,,,,500,787,1032,822,812,2377,1562
Netherlands,,,,,,,,,62999,,,,,,
Austria,,,,,,,,,32543,35050,37859,49627,54410,57407,70429
Poland,,,,,,,,,108647,129038,117430,140031,138187,176910,174543
Portugal,,,,,,,,,19482,22933,23917,30976,37003,40205,44668
Romania,,,,,,,,,,10201,10497,11341,11222,11920,12269
Slovenia,,,,,,,,,4383,4002,3907,3978,3405,3488,3661
Slovakia,,,,,,,,,2312,2863,2633,2264,1984,1911,2122
Finland,,,,,,,,,44788,35320,35699,40294,47132,47474,53916
Sweden,,,,,,,,,217460,253565,301210,293383,278954,258221,248730
Iceland,,,,,,,,,,463,537,596,673,641,546
Liechtenstein,,,,,,,,,175,130,157,179,176,184,197
Norway,,,,,,,,,21361,19875,22532,21032,18998,18928,23048
Switzerland,,,,,,,,,16424,14227,17520,19101,20759,24087,25762
England and Wales,,,,,,,,,,,,,,,
Scotland (NUTS 2021),,,,,,,,,,,,,,,
Northern Ireland (UK) (NUTS 2021),,,,,,,,,,,,,,,
Bosnia and Herzegovina,,,,,,,,,222,,273,,543,,584
Montenegro,,,,,,,,,49,,6,45,58,40,39
North Macedonia,,,,,,,,,,,,,,,
Albania,,,,,,,,,913,1018,941,874,798,921,969
Serbia,,,,,,,,,2245,2044,1966,2961,2191,2699,3340
Türkiye,,,,,,,,,77500,,,,,,
Kosovo*,,,,,,,,,538,535,628,658,468,,
