Country,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Belgium,,,,,,,,,491.53,510.89,579.47,709.45,830.84,880.81,977.18
Bulgaria,,,,,,,,,50.39,47.45,40.43,30.04,24.04,23.7,33.62
Czechia,,,,,,,,,93.2,82.73,79.63,86.19,74.36,111.63,153.09
Denmark,,,,,,,,,688.28,764.3,749.81,820.3,925.06,778.8,973.59
Germany,,,,,,,,,1094.05,1103.17,1015.53,1003.34,971.63,954.39,962.81
Estonia,,,,,,,,,128.04,118.65,110.15,136.85,138.83,214.43,196.13
Ireland,,,,,,,,,103.72,82.43,94.24,114.9,118.85,303.86,202.69
Greece,,,,,,,,,35.15,30.21,29.64,29.91,37.87,80.03,98.32
Spain,,,,,,,,,394.07,461.22,619.78,697.99,761.74,766.27,923.85
France,,,,,,,,,296.71,260.3,269.16,306.16,342.92,399.83,382.33
Croatia,,,,,,,,,90.82,63.53,75.22,80.91,61.78,73.04,90.31
Italy,,,,,,,,,300.18,320.3,361.86,466.35,593.02,743.49,694.9
Cyprus,,,,,,,,,27.35,28.78,26.27,25.23,27.48,45.76,52.83
Latvia,,,,,,,,,90.71,77.07,90.88,82.29,90.74,157.03,123.79
Lithuania,,,,,,,,,99.36,105.31,99.08,106.69,96.2,117.25,141.41
Luxembourg,,,,,,,,,171.63,99.55,107.31,121.19,235.58,362.2,726.53
Hungary,,,,,,,,,457.76,259.14,215.53,173.3,158.16,158.86,215.13
Malta,,,,,,,,,111.01,170.98,216.94,166.55,157.8,460.57,299.82
Netherlands,,,,,,,,,371.04,,,,,,
Austria,,,,,,,,,374.04,399.53,429.13,560.2,611.28,642.66,784.38
Poland,,,,,,,,,286.16,339.82,309.22,368.77,364.05,467.52,463.54
Portugal,,,,,,,,,188.39,222.44,232.41,301.42,359.4,390.41,431.49
Romania,,,,,,,,,,51.93,53.74,58.42,58.06,62.08,64.43
Slovenia,,,,,,,,,212.34,193.72,189.03,191.17,162.46,165.39,173.74
Slovakia,,,,,,,,,42.61,52.67,48.37,41.54,36.35,35,39.05
Finland,,,,,,,,,816.21,641.8,647.53,730.24,853.02,857.89,971.77
Sweden,,,,,,,,,2207.49,2536.88,2976.31,2867.82,2701.06,2487.85,2379.66
Iceland,,,,,,,,,,136.84,154.11,166.95,184.82,173.81,145.12
Liechtenstein,,,,,,,,,465.15,343.82,411.92,466.41,454.23,471.13,501.17
Norway,,,,,,,,,409.94,377.97,425.48,394.73,353.94,351.08,424.83
Switzerland,,,,,,,,,197.23,168.98,206.5,223.55,241.21,277.81,294.8
England and Wales,,,,,,,,,,,,,,,
Scotland (NUTS 2021),,,,,,,,,,,,,,,
Northern Ireland (UK) (NUTS 2021),,,,,,,,,,,,,,,
Bosnia and Herzegovina,,,,,,,,,,,,,,,
Montenegro,,,,,,,,,7.88,,0.96,7.23,9.33,6.44,6.31
North Macedonia,,,,,,,,,,,,,,,
Albania,,,,,,,,,31.75,35.39,32.78,30.53,28.04,32.55,34.69
Serbia,,,,,,,,,31.73,29.03,28.08,42.52,31.63,39.28,49.14
Türkiye,,,,,,,,,98.42,,,,,,
Kosovo*,,,,,,,,,30.37,30,34.92,36.64,26.26,,
