Country,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Belgium,204,189.0,189,214,206,204,210,231,175,198,192,147,150,154,179
Bulgaria,172,150.0,148,128,141,109,112,126,79,95,92,81,67,89,76
Czechia,113,105.0,105,83,95,90,81,88,65,40,55,81,57,46,79
Denmark,53,56.0,49,49,43,41,62,52,53,61,54,54,51,42,59
Germany,656,721.0,699,689,619,623,645,655,747,738,632,586,719,631,614
Estonia,84,70.0,70,65,63,52,41,50,33,29,25,23,37,19,18
Ireland,51,53.0,55,42,52,51,53,30,34,39,39,32,32,23,44
Greece,139,143.0,176,184,165,141,105,86,81,78,94,76,73,89,79
Spain,407,412.0,401,385,364,302,323,302,294,307,289,331,298,290,325
France,975,804.0,797,874,814,802,765,880,779,710,696,753,692,734,821
Croatia,71,49.0,62,49,51,46,36,37,44,46,24,33,40,33,31
Italy,615,590.0,529,552,530,506,487,471,404,376,359,317,285,303,322
Cyprus,9,19.0,7,8,19,11,10,12,11,7,14,13,15,14,7
Latvia,99,108.0,70,69,97,69,77,81,111,109,101,91,93,98,76
Lithuania,286,240.0,199,189,181,172,155,168,142,113,97,84,99,70,62
Luxembourg,7,5.0,8,4,3,2,4,5,5,2,3,4,2,3,9
Hungary,147,139.0,133,142,113,138,129,202,91,85,83,58,77,67,85
Malta,6,4.0,4,3,10,6,6,4,5,9,6,4,6,2,8
Netherlands,150,154.0,,,,147,144,120,108,158,119,125,121,126,142
Austria,58,51.0,61,80,88,63,43,42,49,61,73,74,54,59,65
Poland,460,493.0,436,449,377,296,282,287,256,278,265,205,261,265,258
Portugal,124,130.0,124,114,122,144,92,100,66,76,81,73,81,82,75
Romania,470,397.0,404,335,378,336,298,291,247,256,267,255,256,191,174
Slovenia,11,13.0,11,17,14,12,17,20,10,19,9,14,11,9,13
Slovakia,94,84.0,89,96,75,78,72,48,60,80,67,76,63,55,42
Finland,160,138.0,133,134,107,107,112,116,96,74,95,83,95,94,83
Sweden,82,93.0,91,81,68,87,87,112,106,113,108,111,124,113,116
Iceland,0,1.0,2,3,1,1,2,3,1,3,2,1,3,2,4
Liechtenstein,1,0.0,1,0,0,0,1,0,0,1,1,0,1,,0
Norway,34,29.0,29,111,27,47,29,24,27,28,25,28,31,29,30
Switzerland,54,51.0,53,46,45,57,41,57,45,45,50,46,47,42,42
England and Wales,638,595.0,632,526,544,521,510,546,675,704,671,,,,
Scotland (NUTS 2021),95,84.0,100,93,63,61,62,59,62,59,60,,,,
Northern Ireland (UK) (NUTS 2021),24,29.0,23,23,21,20,17,24,18,24,23,,,,
Bosnia and Herzegovina,66,67.0,54,49,60,46,49,56,42,34,36,37,42,31,34
Montenegro,22,10.0,13,19,15,9,19,17,24,11,13,21,16,14,7
North Macedonia,35,35.0,39,27,28,20,25,21,17,25,,22,10,13,18
Albania,88,82.0,118,124,125,107,98,54,71,52,51,58,52,61,42
Serbia,128,136.0,114,114,104,132,114,96,106,79,104,80,76,73,70
Türkiye,,2090.0,1766,1688,1806,,,,,,1960,1839,1962,1967,2084
Kosovo*,113,73.0,106,62,90,41,38,27,29,33,43,23,28,26,
