Country,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Belgium,1.91,1.76,1.74,1.95,1.86,1.83,1.88,2.06,1.55,1.74,1.68,1.28,1.3,1.33,1.54
Bulgaria,2.29,2.01,1.99,1.74,1.92,1.5,1.55,1.75,1.1,1.34,1.3,1.16,0.96,1.29,1.11
Czechia,1.09,1.01,1,0.79,0.9,0.86,0.77,0.84,0.62,0.38,0.52,0.76,0.53,0.43,0.75
Denmark,0.96,1.01,0.89,0.88,0.77,0.73,1.1,0.92,0.93,1.06,0.93,0.93,0.88,0.72,1
Germany,0.8,0.88,0.85,0.86,0.77,0.77,0.8,0.81,0.91,0.89,0.76,0.71,0.86,0.76,0.74
Estonia,6.28,5.24,5.25,4.89,4.75,3.94,3.12,3.8,2.51,2.2,1.9,1.74,2.78,1.43,1.35
Ireland,1.14,1.17,1.21,0.92,1.13,1.11,1.15,0.64,0.72,0.82,0.81,0.65,0.64,0.46,0.87
Greece,1.29,1.36,1.58,1.65,1.49,1.28,0.96,0.79,0.75,0.72,0.88,0.71,0.68,0.83,0.76
Spain,0.89,0.89,0.86,0.82,0.78,0.65,0.69,0.65,0.63,0.66,0.62,0.71,0.63,0.61,0.69
France,1.52,1.25,1.23,1.35,1.25,1.22,1.16,1.32,1.17,1.06,1.04,1.12,1.03,1.08,1.21
Croatia,1.65,1.14,1.44,1.14,1.19,1.08,0.85,0.88,1.05,1.11,0.58,0.81,0.99,0.82,0.8
Italy,1.05,1.0,0.89,0.93,0.89,0.85,0.8,0.77,0.67,0.62,0.59,0.53,0.48,0.51,0.55
Cyprus,1.16,2.38,0.85,0.95,2.2,1.27,1.17,1.42,1.3,0.82,1.62,1.48,1.69,1.56,0.77
Latvia,4.52,4.99,3.3,3.33,4.74,3.41,3.85,4.08,5.64,5.59,5.22,4.74,4.88,5.18,4.05
Lithuania,8.9,7.54,6.33,6.19,6.03,5.79,5.27,5.75,4.92,3.97,3.45,3.01,3.54,2.5,2.21
Luxembourg,1.45,1.01,1.59,0.78,0.57,0.37,0.73,0.89,0.87,0.34,0.5,0.65,0.32,0.47,1.39
Hungary,1.46,1.39,1.33,1.42,1.14,1.39,1.31,2.05,0.93,0.87,0.85,0.59,0.79,0.69,0.88
Malta,1.47,0.97,0.97,0.72,2.39,1.42,1.41,0.93,1.11,1.96,1.26,0.81,1.17,0.39,1.54
Netherlands,0.91,0.93,,,,0.88,0.86,0.71,0.64,0.92,0.69,0.72,0.7,0.72,0.81
Austria,0.7,0.61,0.73,0.96,1.05,0.75,0.51,0.49,0.56,0.7,0.83,0.84,0.61,0.66,0.72
Poland,1.21,1.29,1.15,1.18,0.99,0.78,0.74,0.76,0.67,0.73,0.7,0.54,0.69,0.7,0.69
Portugal,1.17,1.23,1.17,1.08,1.16,1.37,0.88,0.96,0.64,0.74,0.79,0.71,0.79,0.8,0.72
Romania,2.28,1.94,1.88,1.56,1.88,1.68,1.49,1.46,1.25,1.3,1.37,1.31,1.32,0.99,0.91
Slovenia,0.55,0.64,0.54,0.83,0.68,0.58,0.82,0.97,0.48,0.92,0.44,0.67,0.52,0.43,0.62
Slovakia,1.75,1.56,1.65,1.78,1.39,1.44,1.33,0.89,1.11,1.47,1.23,1.39,1.15,1.01,0.77
Finland,3.02,2.59,2.49,2.49,1.98,1.97,2.05,2.12,1.75,1.34,1.72,1.5,1.72,1.7,1.5
Sweden,0.89,1.0,0.97,0.86,0.72,0.91,0.9,1.15,1.08,1.13,1.07,1.09,1.2,1.09,1.11
Iceland,0,0.31,0.63,0.94,0.31,0.31,0.61,0.91,0.3,0.89,0.57,0.28,0.82,0.54,1.06
Liechtenstein,2.83,0.0,2.79,0,0,0,2.69,0,0,2.64,2.62,0,2.58,,0
Norway,0.72,0.6,0.6,2.26,0.54,0.93,0.57,0.46,0.52,0.53,0.47,0.53,0.58,0.54,0.55
Switzerland,0.71,0.66,0.68,0.58,0.57,0.71,0.5,0.69,0.54,0.53,0.59,0.54,0.55,0.48,0.48
England and Wales,1.17,1.08,1.14,0.94,0.97,0.92,0.89,0.95,1.16,1.2,1.14,,,,
Scotland (NUTS 2021),1.83,1.61,1.91,1.76,1.19,1.15,1.16,1.1,1.15,1.09,1.1,,,,
Northern Ireland (UK) (NUTS 2021),1.36,1.62,1.28,1.27,1.15,1.09,0.93,1.3,0.97,1.29,1.23,,,,
Bosnia and Herzegovina,1.72,1.74,1.4,1.27,1.56,,,,,,,,,,
Montenegro,3.57,1.62,2.1,3.07,2.42,1.45,3.06,2.73,3.86,1.77,2.09,3.38,2.57,2.26,1.13
North Macedonia,1.71,1.71,1.9,1.31,1.36,0.97,1.21,1.01,0.82,1.21,,1.06,0.48,0.63,0.98
Albania,2.78,2.57,,4.38,,,3.38,1.86,2.46,1.81,1.78,2.03,1.83,2.16,1.5
Serbia,1.74,1.85,1.56,1.57,1.44,1.84,1.6,1.35,1.5,1.12,1.49,1.15,1.1,1.06,1.03
Türkiye,,2.92,2.43,2.29,2.42,,,,,,2.43,2.24,2.36,2.35,2.46
Kosovo*,5.25,3.35,4.8,3.46,,,,,1.64,1.85,2.39,1.28,1.57,,
