Country,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Belgium,1013,1080,1122,1194,1185,1163,1151,1171,1201,1170,,,,,
Bulgaria,127,142,118,77,75,87,95,74,70,102,63,72,81,69,83
Czechia,15,12,16,11,17,20,15,12,18,17,13,12,11,2,2
Denmark,,,,,,,,,,,,,,,
Germany,1857,5126,4897,4922,5183,4929,4988,4763,4756,4625,4563,4514,4565,5062,4891
Estonia,2,0,0,3,0,1,0,0,0,0,0,0,0,0,0
Ireland,58,84,82,77,65,80,60,92,74,79,85,87,106,100,91
Greece,30,16,173,158,139,95,58,89,61,78,74,72,73,62,98
Spain,237,171,127,111,118,121,99,93,94,69,81,89,76,97,84
France,2074,2085,2092,2234,2117,2266,2956,3818,3818,,,,,,
Croatia,16,12,13,6,6,1,1,0,1,0,0,1,1,3,0
Italy,325,349,351,356,341,325,297,287,197,198,185,128,117,118,144
Cyprus,12,26,27,12,5,4,8,0,1,9,4,8,2,3,6
Latvia,3,9,8,7,1,18,17,17,8,4,10,13,12,6,10
Lithuania,61,59,69,48,65,46,0,0,0,0,0,0,1,1,0
Luxembourg,33,40,27,47,57,48,52,53,50,46,36,44,42,37,52
Hungary,11,14,18,12,9,7,3,11,5,3,3,5,11,4,7
Malta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Netherlands,760,625,650,575,600,525,415,435,420,400,425,510,520,455,
Austria,11,5,9,5,11,4,1,3,2,3,5,6,3,3,9
Poland,37,59,26,11,316,445,292,246,,,,,,,
Portugal,492,539,501,507,419,432,376,369,296,292,273,338,254,229,250
Romania,265,,321,307,391,310,290,295,346,311,304,353,286,343,406
Slovenia,7,2,4,2,4,4,5,3,3,1,6,11,3,4,1
Slovakia,3,6,4,4,7,78,83,85,102,89,92,95,53,54,48
Finland,0,3,1,3,1,1,1,1,3,2,4,1,3,2,2
Sweden,,,,,,,,,,,,,,,
Iceland,,,,,,,,,,,,,,,
Liechtenstein,0,0,0,0,0,0,0,0,0,,,0,0,0,0
Norway,,,,,,,,,,,,,,,
Switzerland,2,4,0,4,5,3,1,4,3,3,8,5,6,5,4
England and Wales,2035,1860,1717,1516,1388,1728,2189,3019,3849,4528,5223,,,,
Scotland (NUTS 2021),319,269,260,219,227,253,234,228,230,233,268,,,,
Northern Ireland (UK) (NUTS 2021),83,82,56,66,45,59,44,65,81,67,82,,,,
Bosnia and Herzegovina,8,6,1,1,2,5,3,0,1,0,1,7,1,14,12
Montenegro,3,3,2,3,0,1,0,0,2,0,0,2,,2,1
North Macedonia,14,16,17,14,19,18,8,11,10,7,,15,2,8,7
Albania,10,5,9,2,2,5,2,8,4,2,5,4,5,4,4
Serbia,16,24,20,9,11,9,12,14,8,11,14,8,4,14,11
Türkiye,,12700,13586,13584,13431,,,,,,,,,,
Kosovo*,46,50,43,31,33,34,26,24,22,16,16,21,15,10,
