Country,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Belgium,,,,,,,,,882,905,1354,2375,6093,6417,4089
Bulgaria,,,,,,,,,31,45,38,31,48,44,41
Czechia,,,,,,,,,1180,933,780,626,556,564,691
Denmark,,,,,,,,,4,113,105,258,1184,2557,5903
Germany,,,,,,,,,11541,10015,8652,9764,8942,14785,22614
Estonia,,,,,,,,,68,41,101,190,21,18,20
Ireland,,,,,,,,,,,,254,624,833,545
Greece,,,,,,,,,26,29,26,36,38,80,123
Spain,,,,,,,,,262,260,272,295,310,343,411
France,,,,,,,,,1113,1222,1516,1712,2102,2712,2893
Croatia,,,,,,,,,58,6,26,41,21,52,79
Italy,,,,,,,,,1805,1941,1959,2218,2097,1687,1561
Cyprus,,,,,,,,,,,,,,,
Latvia,,,,,,,,,120,123,196,335,415,422,463
Lithuania,,,,,,,,,32,21,55,52,83,42,38
Luxembourg,,,,,,,,,,,,,,,
Hungary,,,,,,,,,51,87,241,188,301,351,533
Malta,,,,,,,,,77,58,33,36,107,180,130
Netherlands,,,,,,,,,610,700,901,1380,1945,2480,1535
Austria,,,,,,,,,562,622,666,430,527,742,755
Poland,,,,,,,,,338,371,479,1290,649,849,1055
Portugal,,,,,,,,,18,25,31,36,47,51,49
Romania,,,,,,,,,954,636,438,642,240,260,323
Slovenia,,,,,,,,,51,,,59,69,59,93
Slovakia,,,,,,,,,116,117,111,62,77,83,126
Finland,,,,,,,,,370,473,426,452,594,700,926
Sweden,,,,,,,,,1971,3137,6787,6773,9303,10534,14958
Iceland,,,,,,,,,,,104,245,288,258,156
Liechtenstein,,,,,,,,,68,49,49,70,58,63,70
Norway,,,,,,,,,114,116,94,140,157,184,188
Switzerland,,,,,,,,,663,807,1225,1772,3070,3600,3751
England and Wales,,,,,,,,,,,,,,,
Scotland (NUTS 2021),,,,,,,,,,,,,,,
Northern Ireland (UK) (NUTS 2021),,,,,,,,,,,,,,,
Bosnia and Herzegovina,,,,,,,,,19,,25,,44,,114
Montenegro,,,,,,,,,,,184,36,40,10,2
North Macedonia,,,,,,,,,,,,,,,
Albania,,,,,,,,,365,379,351,401,417,392,475
Serbia,,,,,,,,,12,37,137,175,114,226,182
Türkiye,,,,,,,,,992,,,,,,
Kosovo*,,,,,,,,,4,5,3,6,4,,
