Country,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Belgium,,,,,,,,,7.8,7.97,11.88,20.73,52.88,55.54,35.2
Bulgaria,,,,,,,,,0.43,0.63,0.54,0.44,0.69,0.64,0.6
Czechia,,,,,,,,,11.18,8.82,7.35,5.88,5.2,5.37,6.57
Denmark,,,,,,,,,0.07,1.97,1.82,4.44,20.33,43.78,100.5
Germany,,,,,,,,,14.04,12.14,10.45,11.76,10.75,17.78,27.17
Estonia,,,,,,,,,5.17,3.12,7.66,14.34,1.58,1.35,1.5
Ireland,,,,,,,,,,,,5.18,12.57,16.64,10.77
Greece,,,,,,,,,0.24,0.27,0.24,0.34,0.35,0.75,1.18
Spain,,,,,,,,,0.56,0.56,0.58,0.63,0.65,0.72,0.87
France,,,,,,,,,1.67,1.83,2.27,2.55,3.12,4.01,4.26
Croatia,,,,,,,,,1.38,0.14,0.63,1.01,0.52,1.29,2.05
Italy,,,,,,,,,2.98,3.2,3.24,3.71,3.52,2.85,2.64
Cyprus,,,,,,,,,,,,,,,
Latvia,,,,,,,,,6.09,6.31,10.13,17.45,21.75,22.29,24.68
Lithuania,,,,,,,,,1.11,0.74,1.96,1.86,2.97,1.5,1.35
Luxembourg,,,,,,,,,,,,,,,
Hungary,,,,,,,,,0.52,0.89,2.46,1.92,3.08,3.61,5.5
Malta,,,,,,,,,17.1,12.6,6.94,7.29,20.79,34.88,24.95
Netherlands,,,,,,,,,3.59,4.1,5.24,7.99,11.17,14.19,8.73
Austria,,,,,,,,,6.46,7.09,7.55,4.85,5.92,8.31,8.41
Poland,,,,,,,,,0.89,0.98,1.26,3.4,1.71,2.24,2.8
Portugal,,,,,,,,,0.17,0.24,0.3,0.35,0.46,0.5,0.47
Romania,,,,,,,,,4.83,3.24,2.24,3.31,1.24,1.35,1.7
Slovenia,,,,,,,,,2.47,,,2.84,3.29,2.8,4.41
Slovakia,,,,,,,,,2.14,2.15,2.04,1.14,1.41,1.52,2.32
Finland,,,,,,,,,6.74,8.59,7.73,8.19,10.75,12.65,16.69
Sweden,,,,,,,,,20.01,31.39,67.06,66.21,90.08,101.49,143.11
Iceland,,,,,,,,,,,29.85,68.63,79.09,69.96,41.46
Liechtenstein,,,,,,,,,180.75,129.6,128.56,182.4,149.69,161.31,178.08
Norway,,,,,,,,,2.19,2.21,1.78,2.63,2.92,3.41,3.47
Switzerland,,,,,,,,,7.96,9.58,14.44,20.74,35.67,41.52,42.92
England and Wales,,,,,,,,,,,,,,,
Scotland (NUTS 2021),,,,,,,,,,,,,,,
Northern Ireland (UK) (NUTS 2021),,,,,,,,,,,,,,,
Bosnia and Herzegovina,,,,,,,,,,,,,,,
Montenegro,,,,,,,,,,,29.56,5.79,6.43,1.61,0.32
North Macedonia,,,,,,,,,,,,,,,
Albania,,,,,,,,,12.69,13.18,12.23,14.01,14.65,13.85,17
Serbia,,,,,,,,,0.17,0.53,1.96,2.51,1.65,3.29,2.68
Türkiye,,,,,,,,,1.26,,,,,,
Kosovo*,,,,,,,,,0.23,0.28,0.17,0.33,0.22,,
