Country,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Belgium,,,,,,,,,242,285,263,308,322,520,341
Bulgaria,,,,,,,,,67,65,103,106,89,66,49
Czechia,,,,,,,,,11,5,9,24,18,22,22
Denmark,,,,,,,,,,,,,,,
Germany,,,,,,,,,563,572,535,579,594,696,639
Estonia,,,,,,,,,,34,16,5,3,1,2
Ireland,,,,,,,,,,,,,,,
Greece,,,,,,,,,405,459,335,377,395,358,342
Spain,,,,,,,,,1211,1136,1425,1165,1317,1668,2034
France,,,,,,,,,1339,1548,1551,1607,1651,2169,2100
Croatia,,,,,,,,,17,18,15,25,28,20,36
Italy,,,,,,,,,780,691,614,556,602,704,442
Cyprus,,,,,,,,,0,0,1,0,0,0,0
Latvia,,,,,,,,,,,,,,,
Lithuania,,,,,,,,,0,2,9,0,10,5,6
Luxembourg,,,,,,,,,22,25,29,18,36,61,70
Hungary,,,,,,,,,,,,,,,
Malta,,,,,,,,,0,0,0,0,0,0,0
Netherlands,,,,,,,,,,,,,,,
Austria,,,,,,,,,57,74,79,119,94,90,88
Poland,,,,,,,,,485,576,457,493,872,896,1083
Portugal,,,,,,,,,10,10,6,8,5,3,6
Romania,,,,,,,,,1051,969,687,546,489,589,516
Slovenia,,,,,,,,,1,1,4,5,1,4,0
Slovakia,,,,,,,,,6,6,9,6,10,14,8
Finland,,,,,,,,,2,0,1,2,3,3,3
Sweden,,,,,,,,,,,,,,,
Iceland,,,,,,,,,,,,,,,
Liechtenstein,,,,,,,,,1,,,,,,
Norway,,,,,,,,,,,,,,,
Switzerland,,,,,,,,,70,64,11,57,42,21,25
England and Wales,,,,,,,,,,,,,,,
Scotland (NUTS 2021),,,,,,,,,,,,,,,
Northern Ireland (UK) (NUTS 2021),,,,,,,,,,,,,,,
Bosnia and Herzegovina,,,,,,,,,28,29,21,52,88,69,122
Montenegro,,,,,,,,,27,57,121,63,111,50,25
North Macedonia,,,,,,,,,,,,,,,
Albania,,,,,,,,,10,13,32,38,15,27,38
Serbia,,,,,,,,,,0,,,,,
Türkiye,,,,,,,,,6647,,,,,,
Kosovo*,,,,,,,,,5,5,2,3,5,,
