Country,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Belgium,,,,,,,,,2.14,2.51,2.31,2.69,2.79,4.5,2.94
Bulgaria,,,,,,,,,0.94,0.92,1.46,1.51,1.28,0.95,0.72
Czechia,,,,,,,,,0.1,0.05,0.08,0.23,0.17,0.21,0.21
Denmark,,,,,,,,,,,,,,,
Germany,,,,,,,,,0.69,0.69,0.65,0.7,0.71,0.84,0.77
Estonia,,,,,,,,,,2.58,1.21,0.38,0.23,0.08,0.15
Ireland,,,,,,,,,,,,,,,
Greece,,,,,,,,,3.76,4.26,3.12,3.52,3.69,3.35,3.27
Spain,,,,,,,,,2.61,2.44,3.05,2.48,2.78,3.52,4.29
France,,,,,,,,,2.01,2.32,2.31,2.39,2.45,3.21,3.09
Croatia,,,,,,,,,0.41,0.43,0.37,0.61,0.69,0.5,0.93
Italy,,,,,,,,,1.29,1.14,1.02,0.93,1.01,1.19,0.75
Cyprus,,,,,,,,,0,0,0.12,0,0,0,0
Latvia,,,,,,,,,,,,,,,
Lithuania,,,,,,,,,0,0.07,0.32,0,0.36,0.18,0.21
Luxembourg,,,,,,,,,3.82,4.23,4.82,2.93,5.75,9.61,10.85
Hungary,,,,,,,,,,,,,,,
Malta,,,,,,,,,0,0,0,0,0,0,0
Netherlands,,,,,,,,,,,,,,,
Austria,,,,,,,,,0.66,0.84,0.9,1.34,1.06,1.01,0.98
Poland,,,,,,,,,1.28,1.52,1.2,1.3,2.3,2.37,2.88
Portugal,,,,,,,,,0.1,0.1,0.06,0.08,0.05,0.03,0.06
Romania,,,,,,,,,5.32,4.93,3.52,2.81,2.53,3.07,2.71
Slovenia,,,,,,,,,0.05,0.05,0.19,0.24,0.05,0.19,0
Slovakia,,,,,,,,,0.11,0.11,0.17,0.11,0.18,0.26,0.15
Finland,,,,,,,,,0.04,0,0.02,0.04,0.05,0.05,0.05
Sweden,,,,,,,,,,,,,,,
Iceland,,,,,,,,,,,,,,,
Liechtenstein,,,,,,,,,2.66,,,,,,
Norway,,,,,,,,,,,,,,,
Switzerland,,,,,,,,,0.84,0.76,0.13,0.67,0.49,0.24,0.29
England and Wales,,,,,,,,,,,,,,,
Scotland (NUTS 2021),,,,,,,,,,,,,,,
Northern Ireland (UK) (NUTS 2021),,,,,,,,,,,,,,,
Bosnia and Herzegovina,,,,,,,,,,,,,,,
Montenegro,,,,,,,,,4.34,9.16,19.44,10.13,17.85,8.05,4.05
North Macedonia,,,,,,,,,,,,,,,
Albania,,,,,,,,,0.35,0.45,1.11,1.33,0.53,0.95,1.36
Serbia,,,,,,,,,,0,,,,,
Türkiye,,,,,,,,,8.44,,,,,,
Kosovo*,,,,,,,,,0.28,0.28,0.11,0.17,0.28,,
