Country,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Belgium,3231,3152,3308,3397,3405,3345,3188,3231,3443,3727,3867,4221,3929,4442,4302
Bulgaria,262,246,211,157,187,164,148,119,127,142,113,131,109,80,96
Czechia,529,480,586,675,669,589,669,598,649,598,651,683,639,1491,1713
Denmark,975,878,954,853,869,839,837,1051,1679,1803,2217,2051,2175,2658,2831
Germany,7292,7314,7724,7539,8031,7408,7345,7022,7919,8310,9036,9576,10122,10410,12558
Estonia,160,124,81,91,143,135,147,161,152,150,212,203,152,186,152
Ireland,331,364,468,446,457,391,480,666,696,839,1030,1065,1035,1093,1102
Greece,232,213,215,172,167,149,134,122,155,156,157,182,172,259,333
Spain,2437,2051,1578,1513,1280,1298,1239,1229,1249,1387,1700,1873,1596,2143,2865
France,10277,9842,10108,10406,10885,11171,12157,12819,14340,16270,19155,22872,25550,33918,38094
Croatia,188,129,141,122,126,274,335,258,318,246,297,472,302,451,357
Italy,,,,,,,,,,,,,,,
Cyprus,34,27,36,45,31,23,17,21,22,19,28,16,28,55,57
Latvia,100,69,78,50,64,73,75,60,142,161,176,171,202,172,242
Lithuania,164,149,208,191,178,133,158,155,110,124,116,94,72,68,67
Luxembourg,57,56,66,70,76,89,73,68,106,84,76,116,104,110,131
Hungary,214,228,246,196,192,248,318,380,598,588,541,381,504,473,587
Malta,19,12,11,18,13,15,11,23,27,19,18,31,17,32,39
Netherlands,1945,1920,1640,1565,1445,1245,1120,1265,1535,1760,1940,2055,2065,2400,2885
Austria,693,779,1221,1314,1256,1295,1164,1130,1231,1492,1666,1676,1684,1841,2055
Poland,1611,1530,1567,1498,1432,786,793,657,791,718,756,710,568,582,590
Portugal,314,377,424,374,375,345,374,375,335,408,421,431,315,397,519
Romania,1016,1007,897,780,895,978,875,1016,940,1385,1463,1561,1595,1950,2244
Slovenia,230,285,314,274,227,225,161,128,165,158,138,182,146,174,218
Slovakia,152,142,117,150,88,91,86,87,82,96,99,97,92,92,107
Finland,915,660,818,1039,1009,975,1009,1043,1160,1245,1393,1511,1518,1973,1823
Sweden,4901,5453,5479,6059,5949,5634,6294,5544,6311,6969,7575,8271,8884,9314,9029
Iceland,68,78,98,128,122,180,129,178,185,213,263,215,158,211,256
Liechtenstein,3,0,0,2,4,3,5,2,2,5,5,1,3,2,4
Norway,1452,1481,1446,1621,1646,1594,1630,1904,2235,2308,2564,2197,2234,2471,2254
Switzerland,612,666,543,552,569,571,556,532,588,619,626,679,713,757,867
England and Wales,13096,15074,15892,16038,16374,20751,29389,35901,41616,54045,58657,,,,
Scotland (NUTS 2021),821,884,997,1183,1372,1690,1797,1692,1755,2136,2293,,,,
Northern Ireland (UK) (NUTS 2021),368,422,498,548,503,543,687,753,829,952,1090,,,,
Bosnia and Herzegovina,35,29,46,35,41,35,27,36,27,25,34,26,18,20,24
Montenegro,17,9,5,3,3,4,5,5,2,10,8,4,9,8,16
North Macedonia,41,37,28,41,43,38,45,41,36,35,,35,38,25,18
Albania,39,34,24,22,24,39,41,71,44,43,42,77,65,65,57
Serbia,123,111,72,79,85,140,133,114,105,111,123,116,93,115,108
Türkiye,,,,,,,,,,,,,,,
Kosovo*,50,44,33,24,33,32,29,31,28,29,32,50,60,100,
