Country,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Belgium,30.29,29.31,30.52,30.88,30.69,29.97,28.51,28.75,30.44,32.83,33.93,36.85,34.1,38.44,37.03
Bulgaria,3.48,3.29,2.84,2.13,2.55,2.25,2.04,1.65,1.78,2,1.6,1.87,1.57,1.16,1.4
Czechia,5.11,4.6,5.6,6.44,6.37,5.6,6.36,5.67,6.15,5.65,6.14,6.41,5.98,14.21,16.29
Denmark,17.81,15.93,17.24,15.34,15.57,14.98,14.87,18.57,29.42,31.36,38.35,35.33,37.35,45.51,48.2
Germany,8.87,8.92,9.44,9.4,10,9.2,9.09,8.65,9.64,10.07,10.91,11.53,12.17,12.52,15.09
Estonia,11.95,9.28,6.08,6.84,10.79,10.23,11.17,12.24,11.55,11.4,16.07,15.32,11.44,13.98,11.41
Ireland,7.42,8.05,10.28,9.75,9.97,8.52,10.35,14.24,14.73,17.54,21.32,21.72,20.85,21.83,21.78
Greece,2.07,1.92,1.93,1.55,1.51,1.35,1.23,1.12,1.44,1.45,1.46,1.7,1.6,2.43,3.18
Spain,5.34,4.44,3.39,3.24,2.73,2.78,2.66,2.65,2.69,2.98,3.64,3.99,3.37,4.52,6.04
France,16.06,15.29,15.63,16.01,16.68,17.03,18.44,19.28,22.52,24.35,28.58,34.05,37.95,50.13,56.13
Croatia,4.36,2.99,3.28,2.84,2.95,6.43,7.89,6.11,7.59,5.92,7.23,11.58,7.44,11.17,9.24
Italy,,,,,,,,,,,,,,,
Cyprus,4.38,3.39,4.39,5.36,3.6,2.66,1.98,2.48,2.59,2.22,3.24,1.83,3.15,6.14,6.3
Latvia,4.56,3.19,3.68,2.41,3.13,3.61,3.75,3.02,7.21,8.26,9.1,8.91,10.59,9.09,12.9
Lithuania,5.1,4.68,6.62,6.26,5.93,4.48,5.37,5.31,3.81,4.35,4.13,3.36,2.58,2.43,2.39
Luxembourg,11.78,11.35,13.15,13.68,14.48,16.57,13.28,12.08,18.39,14.22,12.62,18.9,16.61,17.33,20.3
Hungary,2.13,2.27,2.46,1.96,1.93,2.5,3.22,3.86,6.08,6,5.53,3.9,5.16,4.86,6.06
Malta,4.66,2.92,2.66,4.34,3.11,3.56,2.59,5.36,5.99,4.13,3.78,6.28,3.3,6.2,7.49
Netherlands,11.86,11.65,9.89,9.4,8.64,7.42,7.25,7.48,9.04,10.3,11.29,11.89,11.86,13.73,16.4
Austria,8.34,9.35,14.62,15.69,14.94,15.32,13.68,13.18,14.17,17.01,18.88,18.92,18.92,20.61,22.89
Poland,4.23,4.01,4.12,3.94,3.76,2.07,2.09,1.73,2.08,1.89,1.99,1.87,1.5,1.54,1.57
Portugal,2.98,3.57,4.01,3.54,3.56,3.29,3.59,3.61,3.24,3.96,4.09,4.19,3.06,3.86,5.01
Romania,4.92,4.93,4.18,3.64,4.45,4.89,4.39,5.11,4.76,7.05,7.49,8.04,8.25,10.16,11.78
Slovenia,11.44,14.02,15.34,13.36,11.04,10.93,7.81,6.2,7.99,7.65,6.68,8.75,6.97,8.25,10.35
Slovakia,2.83,2.64,2.17,2.78,1.63,1.68,1.59,1.6,1.51,1.77,1.82,1.78,1.69,1.69,1.97
Finland,17.26,12.39,15.29,19.33,18.68,17.97,18.51,19.06,21.14,22.62,25.27,27.38,27.47,35.65,32.86
Sweden,53.37,58.91,58.66,64.35,62.73,58.96,65.26,56.88,64.06,69.72,74.85,80.85,86.02,89.74,86.38
Iceland,21.56,24.42,30.85,40.19,38.18,55.93,39.61,54.09,55.63,62.95,75.48,60.23,43.39,57.21,68.04
Liechtenstein,8.49,0,0,5.53,10.97,8.14,13.47,5.35,5.32,13.22,13.12,2.61,7.74,5.12,10.18
Norway,30.65,30.85,29.76,32.94,33.01,31.56,31.91,36.85,42.89,43.89,48.42,41.23,41.62,45.83,41.55
Switzerland,8.06,8.65,6.97,7.01,7.15,7.1,6.83,6.46,7.06,7.35,7.38,7.95,8.28,8.73,9.92
England and Wales,23.98,27.39,28.65,28.67,29.05,36.56,51.4,62.28,71.59,92.29,99.48,,,,
Scotland (NUTS 2021),15.83,16.94,19,22.4,25.86,31.77,33.67,31.59,32.64,39.45,42.17,,,,
Northern Ireland (UK) (NUTS 2021),20.79,23.63,27.68,30.28,27.65,29.73,37.39,40.79,44.6,51,58.1,,,,
Bosnia and Herzegovina,0.91,0.75,1.2,0.91,1.07,,,,,,,,,,
Montenegro,2.76,1.46,0.81,0.48,0.48,0.64,0.8,0.8,0.32,1.61,1.29,0.64,1.45,1.29,2.59
North Macedonia,2,1.81,1.36,1.99,2.09,1.84,2.18,1.98,1.74,1.69,,1.69,1.83,1.21,0.98
Albania,1.23,1.07,,0.78,,,1.41,2.46,1.53,1.49,1.46,2.69,2.28,2.3,2.04
Serbia,1.67,1.51,0.99,1.09,1.18,1.95,1.86,1.6,1.48,1.58,1.76,1.67,1.34,1.67,1.59
Türkiye,,,,,,,,,,,,,,,
Kosovo*,2.32,2.02,1.49,1.34,,,,,1.58,1.63,1.78,2.78,3.37,,
