Country,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Belgium,22877,23581,23856,27341.0,25608.0,22879,21928,20278,18678.0,17645.0,16483,16297,11869,11567,12126
Bulgaria,2868,3596,3737,3110.0,2955.0,2977,2326,1946,1666.0,1558.0,1265,1183,1002,840,902
Czechia,4641,4687,4019,3881.0,3416.0,3051,2547,2022,1646.0,1585.0,1406,1439,1248,1230,1422
Denmark,3400,4004,3372,3241.0,3003.0,3200,2322,2034,2185.0,2042.0,1819,1698,1635,1287,1406
Germany,49913,49317,48166,48021.0,48711.0,47234,45475,44666,43009.0,38849.0,36756,36052,33872,30125,38195
Estonia,909,726,599,525.0,457.0,476,360,337,248.0,201.0,170,152,113,129,98
Ireland,2328,2522,3234,2954.0,2811.0,2795,2650,2424,1955.0,2018.0,2179,2036,1402,1172,1408
Greece,3293,4715,6079,6636.0,5992.0,4919,3800,4316,4738.0,4271.0,4358,4335,2541,2403,2833
Spain,71421,65159,84411,87718.0,96607.0,86034,70855,64581,62952.0,61763.0,60295,65874,45263,53073,63392
France,106633,112765,121038,120966.0,123814.0,124657,114093,104116,105636.0,99558.0,91953,89966,74190,70502,68000
Croatia,1259,1411,1245,1382.0,1588.0,1523,1268,1311,1068.0,864.0,779,838,632,604,708
Italy,64535,50732,47996,58206.0,62641.0,63770,39236,35086,33422.0,31167.0,28986,24821,20479,22537,26181
Cyprus,71,142,156,137.0,173.0,149,104,78,93.0,103.0,73,55,78,68,96
Latvia,1441,1516,1072,1047.0,943.0,917,809,779,651.0,604.0,534,493,435,263,280
Lithuania,3452,3363,2727,2502.0,1923.0,1866,1688,1590,1342.0,1088.0,822,665,479,310,342
Luxembourg,326,418,377,398.0,527.0,582,615,554,459.0,454.0,449,457,472,595,652
Hungary,3128,3159,3396,3203.0,3036.0,2298,1954,1440,1104.0,841.0,696,633,608,541,533
Malta,147,202,196,219.0,257.0,207,190,242,259.0,202.0,208,174,128,101,132
Netherlands,13175,16265,16290,15585.0,14940.0,13345,10450,9730,8980.0,7975.0,7785,8590,7305,5545,5955
Austria,4786,4577,4310,4066.0,4092.0,3737,3481,3416,3103.0,2610.0,2396,2628,2137,2118,2536
Poland,21085,19267,19359,17729.0,16685.0,19533,13868,10210,9634.0,8114.0,6801,6473,5288,4874,4832
Portugal,20854,20472,20442,20372.0,18514.0,16590,15594,15472,13313.0,11885.0,10545,10926,8976,7894,8808
Romania,2464,2541,2484,2251.0,3193.0,2933,6418,3358,3096.0,3163.0,3275,3466,3849,3412,3070
Slovenia,386,481,463,403.0,391.0,377,297,232,226.0,238.0,322,314,255,222,215
Slovakia,1371,1358,1188,851.0,974.0,835,680,539,526.0,468.0,475,410,325,289,313
Finland,1696,1640,1508,1622.0,1616.0,1523,1687,1548,1670.0,1640.0,1700,1805,1995,1892,2329
Sweden,8909,9570,9219,9719.0,9213.0,8361,8364,8461,8562.0,8649.0,8646,9035,8812,7301,6483
Iceland,43,60,42,42.0,50.0,49,51,53,50.0,49.0,77,54,75,60,66
Liechtenstein,1,2,2,1.0,5.0,1,1,3,4.0,2.0,2,2,4,2,2
Norway,1598,1776,1687,1623.0,1484.0,1667,1063,930,810.0,781.0,788,881,958,766,904
Switzerland,2890,3530,2853,3113.0,3603.0,3196,2367,1859,1876.0,1746.0,1644,1872,1949,1736,1941
England and Wales,80130,75105,76189,74688.0,65155.0,57828,50153,51133,59332.0,77089.0,,,,,
Scotland (NUTS 2021),2963,2496,2557,2244.0,1832.0,1499,1497,1327,1435.0,1556.0,1807,,,,
Northern Ireland (UK) (NUTS 2021),1149,1315,1349,1269.0,1040.0,969,906,810,673.0,567.0,621,,,,
Bosnia and Herzegovina,746,,,975.0,1010.0,1103,1025,111,1015.0,660.0,,660,520,416,405
Montenegro,6,7,3,144.0,117.0,161,188,156,128.0,118.0,123,95,48,58,47
North Macedonia,458,597,604,513.0,469.0,468,305,278,248.0,417.0,,383,264,275,322
Albania,144,169,236,268.0,326.0,371,297,234,159.0,183.0,133,98,82,80,78
Serbia,4082,4593,3620,3548.0,3791.0,3852,3232,3034,2422.0,1829.0,1597,1247,846,807,717
Türkiye,,8698,8581,9662.0,10303.0,,,,10892.0,12171.0,10993,10897,11243,13228,15678
Kosovo*,421,586,566,629.0,527.0,510,446,284,288.0,306.0,322,205,167,171,
