Country,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Belgium,214.47,219.3,220.08,248.54,230.81,204.98,196.12,180.45,165.13,155.44,144.61,142.26,103.01,100.11,104.38
Bulgaria,38.15,48.16,50.35,42.2,40.33,40.87,32.1,27.02,23.29,21.94,17.94,16.9,14.41,12.14,13.19
Czechia,44.87,44.96,38.41,37.01,32.52,29.01,24.23,19.19,15.6,14.98,13.25,13.51,11.67,11.49,13.52
Denmark,62.09,72.65,60.92,58.28,53.81,57.12,41.26,35.94,38.28,35.52,31.46,29.25,28.08,22.04,23.94
Germany,60.71,60.14,58.88,59.86,60.64,58.66,56.3,55.01,52.34,47.08,44.4,43.43,40.73,36.23,45.89
Estonia,67.91,54.35,44.93,39.48,34.48,36.06,27.36,25.63,18.85,15.28,12.89,11.47,8.5,9.7,7.36
Ireland,52.22,55.78,71.08,64.62,61.33,60.88,57.14,51.82,41.36,42.18,45.11,41.52,28.24,23.41,27.83
Greece,29.45,42.5,54.67,59.66,54.05,44.7,34.78,39.75,43.94,39.66,40.57,40.42,23.71,22.5,27.08
Spain,156.39,140.92,181.58,187.97,206.34,184.12,152.34,139.03,135.56,132.74,129.23,140.35,95.63,111.97,133.65
France,166.6,175.24,187.19,186.16,189.67,190.02,173.02,156.59,158.52,149.4,137.99,133.92,110.2,104.21,100.19
Croatia,29.2,32.74,28.93,32.22,37.14,35.73,29.86,31.03,25.49,20.8,18.97,20.56,15.57,14.96,18.33
Italy,110.03,85.99,81.09,98.05,105.47,106.84,64.55,57.71,55.09,51.44,47.92,41.5,34.34,38.05,44.35
Cyprus,9.15,17.82,19.04,16.31,20.07,17.21,12.12,9.21,10.96,12.05,8.45,6.28,8.78,7.59,10.61
Latvia,65.74,70.09,50.55,50.47,46.12,45.31,40.42,39.22,33.06,30.97,27.61,25.68,22.8,13.89,14.93
Lithuania,107.45,105.63,86.79,81.96,64.02,62.79,57.35,54.43,46.46,38.2,29.26,23.8,17.14,11.09,12.19
Luxembourg,67.38,84.7,75.09,77.76,100.41,108.37,111.88,98.41,79.65,76.86,74.58,74.44,75.39,93.74,101.02
Hungary,31.14,31.49,33.91,32.08,30.57,23.19,19.78,14.61,11.23,8.58,7.12,6.48,6.22,5.56,5.5
Malta,36.04,49.16,47.34,52.77,61.55,49.13,44.67,55.04,57.5,43.88,43.72,35.25,24.88,19.57,25.34
Netherlands,80.31,98.66,98.28,93.57,89.3,79.53,62.09,57.57,52.89,46.69,45.31,49.7,41.96,31.73,33.85
Austria,57.61,54.91,51.61,48.55,48.67,44.22,40.92,39.79,35.66,29.75,27.16,29.67,24.01,23.71,28.24
Poland,55.32,50.52,50.91,46.58,43.83,51.32,36.48,26.86,25.37,21.37,17.91,17.05,13.93,12.88,12.83
Portugal,197.61,193.81,193.33,192.68,175.61,158.19,149.55,149.13,128.74,115.28,102.47,106.32,87.18,76.65,85.08
Romania,11.94,12.43,11.57,10.51,15.89,14.65,32.17,16.9,15.67,16.1,16.77,17.85,19.91,17.77,16.12
Slovenia,19.2,23.67,22.62,19.66,19.02,18.31,14.41,11.25,10.95,11.52,15.58,15.09,12.17,10.53,10.2
Slovakia,25.5,25.23,22.04,15.78,18.02,15.43,12.56,9.94,9.69,8.61,8.73,7.52,5.95,5.29,5.76
Finland,31.99,30.79,28.17,30.17,29.91,28.07,30.95,28.29,30.43,29.8,30.84,32.71,36.11,34.19,41.98
Sweden,97.02,103.39,98.7,103.22,97.15,87.5,86.72,86.8,86.91,86.53,85.43,88.32,85.32,70.34,62.02
Iceland,13.63,18.79,13.22,13.19,15.65,15.22,15.66,16.1,15.04,14.48,22.1,15.13,20.6,16.27,17.54
Liechtenstein,2.83,5.62,5.57,2.77,13.71,2.71,2.69,8.03,10.63,5.29,5.25,5.21,10.32,5.12,5.09
Norway,33.73,37.01,34.72,32.99,29.76,33,20.81,18,15.54,14.85,14.88,16.53,17.85,14.21,16.66
Switzerland,38.05,45.83,36.64,39.55,45.29,39.76,29.08,22.57,22.53,20.74,19.38,21.91,22.65,20.02,22.21
England and Wales,146.72,136.46,137.37,133.53,115.58,101.88,87.71,88.7,102.06,131.63,,,,,
Scotland (NUTS 2021),57.13,47.84,48.74,42.5,34.53,28.18,28.05,24.76,26.63,28.74,33.24,,,,
Northern Ireland (UK) (NUTS 2021),64.9,73.62,74.99,70.13,57.18,53.05,49.31,43.87,36.24,30.38,33.1,,,,
Bosnia and Herzegovina,19.41,,,25.37,26.31,,,,,,,,,,
Montenegro,0.97,1.13,0.48,23.23,18.86,25.93,30.25,25.08,20.57,18.96,19.76,15.27,7.72,9.34,7.61
North Macedonia,22.39,29.14,29.42,24.94,22.77,22.69,14.76,13.44,11.97,20.11,,18.44,12.72,13.29,17.53
Albania,4.54,5.31,,9.46,,,10.25,8.11,5.53,6.36,4.63,3.42,2.88,2.83,2.79
Serbia,55.42,62.62,49.54,48.93,52.53,53.64,45.22,42.65,34.23,25.98,22.81,17.91,12.21,11.74,10.55
Türkiye,,12.16,11.83,13.11,13.79,,,,13.83,15.25,13.6,13.29,13.52,15.82,18.51
Kosovo*,19.55,26.87,25.63,35.06,,,,,16.26,17.16,17.9,11.42,9.37,,
