Country,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Belgium,76314,77665,77758,78778,72312,69746,70411,62381,62985,62763,64507,65258,56107,59680,65083
Bulgaria,3216,3122,3038,2462,2410,2470,2533,2520,2470,2811,2518,2768,2657,2758,3131
Czechia,5397,4756,4786,5264,5240,5378,5199,5229,5050,4767,4967,4684,3892,3701,4171
Denmark,1663,1603,1753,1696,1657,1503,1533,1460,1733,1904,1857,1968,1871,1884,2158
Germany,518499,149301,142903,139091,136077,127869,125752,127395,140033,137058,136727,133084,130453,122341,144663
Estonia,140,106,103,104,99,99,77,98,93,76,90,78,77,74,58
Ireland,3843,3718,3681,3541,3213,3071,3163,3516,3638,4101,4546,5046,4263,4874,6092
Greece,430,477,1101,1425,1692,1610,1459,1624,1515,1510,1587,1605,1285,1186,1333
Spain,72803,80910,25077,18290,17353,16701,16776,29056,17331,18086,18292,20057,16002,20252,26446
France,187937,220126,231909,231307,231733,233304,237916,242185,266911,278097,300383,322731,317150,353899,391833
Croatia,1128,1059,986,873,903,823,766,804,790,798,733,736,743,727,778
Italy,65791,65611,64866,68500,69527,66317,973,1047,995,1117,984,1005,840,868,863
Cyprus,167,219,173,164,148,132,134,143,145,144,132,176,136,179,177
Latvia,1346,1215,1226,1161,1325,458,569,534,657,657,646,639,596,549,539
Lithuania,251,220,245,206,178,211,204,214,216,178,185,152,150,126,145
Luxembourg,2317,2350,596,681,677,713,728,608,569,585,611,637,486,548,696
Hungary,12757,12787,14569,14212,13973,13377,13475,12472,,,,,,,
Malta,196,173,180,181,174,218,160,183,200,186,183,200,183,171,220
Netherlands,69005,65690,6605,6555,6205,5580,5340,5100,5020,4785,4580,4840,5220,4570,4905
Austria,3945,4023,3606,3897,4030,3327,3230,3461,3793,3625,3711,3835,3549,3610,4324
Poland,,12559,11011,10703,9721,9118,8248,6957,7621,7304,6610,6412,5377,4815,5132
Portugal,760,724,863,812,701,580,542,469,521,584,579,661,576,629,741
Romania,9457,9072,12301,12299,17219,17572,2279,299,304,272,252,283,229,182,227
Slovenia,214,220,215,191,217,176,186,170,155,151,151,144,128,116,114
Slovakia,2702,2618,2426,2227,2183,2017,1988,1862,1632,1619,1597,1527,1271,1131,1295
Finland,2228,2083,1974,2035,1856,1791,1645,1563,1592,1581,1609,1584,1754,1663,1726
Sweden,5332,5600,5594,5684,5338,4659,4570,4646,4959,4685,4709,5324,5290,4813,4641
Iceland,77,79,57,60,74,92,101,85,74,103,122,97,132,120,146
Liechtenstein,88,90,77,78,69,103,120,81,71,83,79,76,86,60,102
Norway,3279,3093,2925,2837,2781,2566,2377,2239,2199,2112,1968,2129,1786,1571,1932
Switzerland,8893,524,487,487,597,568,609,616,573,586,585,637,670,652,763
England and Wales,419119,399713,366878,336867,310953,321535,373464,430583,466722,512976,547060,,,,
Scotland (NUTS 2021),79892,5621,5493,4693,3643,2951,2903,3714,3950,3944,4049,,,,
Northern Ireland (UK) (NUTS 2021),1549,1605,1451,1446,1278,1093,1172,1206,1111,1053,1063,,,,
Bosnia and Herzegovina,1474,,505,652,618,577,592,992,1009,752,909,725,640,755,505
Montenegro,196,186,193,161,168,173,129,140,128,147,153,115,129,118,128
North Macedonia,213,228,248,239,211,216,213,154,173,148,,161,145,148,137
Albania,363,379,178,169,156,163,132,169,118,125,135,158,152,163,153
Serbia,1582,1442,1391,1309,1323,1750,1506,1422,1339,1285,6904,6216,5797,5261,5301
Türkiye,,,,,,,,,,,,,,,
Kosovo*,3376,3539,3760,3743,3805,653,818,393,363,331,304,275,274,316,
