Country,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Belgium,7548,7457,7615,7903,7331,3813,3709,3657,4389,4907,4870,5417,5469,6085,6391
Bulgaria,487,480,485,492,499,468,462,484,,,462,474,459,467,471
Czechia,1151,1250,751,781,741,827,760,821,729,803,785,865,791,82,90
Denmark,837,793,1056,1013,1035,1004,1531,1560,2114,2992,3323,2844,3195,3685,3465
Germany,49492,41770,28842,28815,28246,27922,27614,27243,29247,26505,31549,31148,30957,31380,37132
Estonia,108,130,97,89,105,105,52,123,119,109,84,152,158,134,144
Ireland,869,1082,1665,1361,1378,1387,1384,1404,1533,1692,1776,1793,1569,1880,2073
Greece,450,711,187,180,203,187,191,259,263,224,182,70,12,12,19
Spain,8451,7672,8376,8379,7728,7625,8229,6267,7477,8077,9912,11158,9516,12775,13924
France,13754,13411,12855,13465,15898,16607,18802,20464,21124,23420,28581,32351,32278,42676,47477
Croatia,577,535,256,256,217,302,269,347,358,230,244,351,265,393,333
Italy,4893,4963,4813,4617,4689,4488,4257,4000,,,,,,,
Cyprus,63,51,43,2,2,1,2,0,2,1,1,1,2,8,0
Latvia,,,,,,304,369,243,83,112,133,136,115,173,169
Lithuania,204,213,306,338,263,122,159,108,98,102,103,96,54,79,74
Luxembourg,,304,260,284,322,316,362,288,,,,,,,
Hungary,250,428,431,433,502,431,227,241,,,,,,,
Malta,61,70,80,51,69,79,66,81,61,59,75,88,72,106,102
Netherlands,8550,8325,2480,2175,2070,1950,1815,1710,2215,2200,2375,2245,1955,2265,2950
Austria,3492,3057,2275,2643,2784,2153,2119,2009,2821,2417,2424,2360,2135,2209,2568
Poland,,,,,,434,384,421,513,456,417,576,360,353,358
Portugal,1937,2179,1782,1808,1759,1791,1957,2070,2138,2130,2042,2270,2119,2322,2505
Romania,550,598,589,545,646,745,641,80,99,143,288,351,319,395,450
Slovenia,82,90,89,49,62,67,63,44,65,65,49,59,69,64,71
Slovakia,,,,,,68,54,75,59,87,76,78,59,72,88
Finland,1796,1439,1566,2120,2225,2013,1816,1729,2028,1809,2144,2498,2544,3043,3285
Sweden,9157,9545,10058,10036,10225,8874,10213,9319,10966,11505,11291,11142,11567,12636,11305
Iceland,,,,,,56,41,45,45,69,40,71,48,57,82
Liechtenstein,,,,,,39,14,16,7,,,,,,
Norway,1507,1445,1566,1663,1585,1631,1807,2118,2925,2897,2734,2491,2389,2799,2511
Switzerland,,2322,1949,2264,2012,2125,2191,2178,2154,3136,665,626,683,720,752
England and Wales,22214,22233,23222,22260,22556,26115,34916,41404,46154,55805,59058,,,,
Scotland (NUTS 2021),3690,3966,4235,5049,5362,3523,3831,4080,4404,4945,5256,,,,
Northern Ireland (UK) (NUTS 2021),1409,1347,1370,1292,1356,987,1155,1302,1365,1415,1463,,,,
Bosnia and Herzegovina,,,,,,,107,24,29,,187,138,146,171,124
Montenegro,23,38,39,21,21,19,26,21,16,7,13,28,14,24,20
North Macedonia,,,,,,113,,,,,,,,,
Albania,18,29,36,22,23,50,56,78,76,70,67,77,80,70,112
Serbia,277,301,381,378,310,121,155,134,178,202,338,443,393,546,376
Türkiye,,,,,,,,,5528,6325,7521,8481,7749,9049,9675
Kosovo*,111,93,89,101,109,48,54,55,56,50,46,61,56,73,
