Country,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Belgium,70.76,69.35,70.25,71.84,66.08,34.16,33.17,32.54,38.8,43.23,42.72,47.29,47.46,52.66,55.01
Bulgaria,6.48,6.43,6.53,6.68,6.81,6.42,6.38,6.72,,,6.55,6.77,6.6,6.75,6.89
Czechia,11.13,11.99,7.18,7.45,7.05,7.86,7.23,7.79,6.91,7.59,7.4,8.12,7.4,0.78,0.86
Denmark,15.29,14.39,19.08,18.22,18.55,17.92,27.21,27.56,37.04,52.05,57.48,48.98,54.87,63.1,58.99
Germany,60.2,50.94,35.26,35.92,35.16,34.68,34.19,33.55,35.59,32.12,38.11,37.52,37.22,37.74,44.61
Estonia,8.07,9.73,7.28,6.69,7.92,7.95,3.95,9.35,9.04,8.28,6.37,11.47,11.89,10.07,10.81
Ireland,19.49,23.93,36.59,29.77,30.06,30.21,29.84,30.02,32.44,35.37,36.77,36.56,31.6,37.55,40.97
Greece,4.02,6.41,1.68,1.61,1.83,1.7,1.75,2.39,2.44,2.08,1.69,0.65,0.11,0.11,0.18
Spain,18.5,16.59,18.02,17.95,16.51,16.32,17.69,13.49,16.1,17.36,21.24,23.77,20.1,26.95,29.36
France,21.49,20.84,19.88,20.72,24.35,25.32,28.51,30.78,31.7,35.05,42.89,48.16,47.95,63.08,69.95
Croatia,13.38,12.41,5.95,5.97,5.07,7.09,6.33,8.21,8.54,5.54,5.94,8.61,6.53,9.74,8.62
Italy,8.34,8.41,8.13,7.78,7.89,7.52,7,6.58,,,,,,,
Cyprus,8.12,6.4,5.25,0.24,0.23,0.12,0.23,0,0.24,0.12,0.12,0.11,0.23,0.89,0
Latvia,,,,,,15.02,18.44,12.24,4.22,5.74,6.88,7.08,6.03,9.14,9.01
Lithuania,6.35,6.69,9.74,11.07,8.76,4.11,5.4,3.7,3.39,3.58,3.67,3.44,1.93,2.83,2.64
Luxembourg,,61.6,51.79,55.49,61.35,58.84,65.86,51.16,,,,,,,
Hungary,2.49,4.27,4.3,4.34,5.05,4.35,2.3,2.45,,,,,,,
Malta,14.96,17.03,19.32,12.29,16.53,18.75,15.52,18.87,13.54,12.82,15.77,17.83,13.99,20.54,19.58
Netherlands,52.12,50.5,14.96,13.06,12.37,11.62,10.78,10.12,13.05,12.88,13.82,12.99,11.23,12.96,16.77
Austria,42.03,36.68,27.24,31.56,33.11,25.47,24.91,23.43,32.46,27.55,27.48,26.64,23.99,24.73,28.6
Poland,,,,,,1.14,1.01,1.11,1.35,1.2,1.1,1.52,0.95,0.93,0.95
Portugal,18.35,20.63,16.85,17.1,16.69,17.08,18.77,19.95,20.67,20.66,19.84,22.09,20.58,22.55,24.2
Romania,2.67,2.93,2.74,2.55,3.21,3.72,3.21,0.4,0.5,0.73,1.47,1.81,1.65,2.06,2.36
Slovenia,4.08,4.42,4.35,2.39,3.01,3.25,3.05,2.13,3.15,3.15,2.37,2.84,3.29,3.03,3.37
Slovakia,,,,,,1.26,1,1.38,1.09,1.6,1.4,1.43,1.08,1.32,1.62
Finland,33.88,27.02,29.26,39.44,41.19,37.09,33.31,31.6,36.96,32.87,38.89,45.27,46.04,54.99,59.21
Sweden,99.72,103.12,107.68,106.59,107.83,92.86,105.89,95.61,111.32,115.11,111.57,108.91,112,121.74,108.16
Iceland,,,,,,17.4,12.59,13.67,13.53,20.39,11.48,19.89,13.18,15.46,21.79
Liechtenstein,,,,,,105.87,37.71,42.82,18.61,,,,,,
Norway,31.81,30.1,32.23,33.79,31.78,32.29,35.38,40.99,56.13,55.09,51.63,46.75,44.51,51.92,46.28
Switzerland,,30.14,25.03,28.76,25.29,26.43,26.92,26.44,25.87,37.25,7.84,7.33,7.94,8.3,8.61
England and Wales,40.67,40.39,41.87,39.8,40.01,46.01,61.07,71.82,79.39,95.29,100.17,,,,
Scotland (NUTS 2021),71.15,76.02,80.72,95.61,101.05,66.22,71.78,76.17,81.91,91.33,96.67,,,,
Northern Ireland (UK) (NUTS 2021),79.59,75.41,76.15,71.4,74.55,54.03,62.86,70.52,73.5,75.8,77.99,,,,
Bosnia and Herzegovina,,,,,,,,,,,,,,,
Montenegro,3.74,6.16,6.3,3.39,3.39,3.06,4.18,3.38,2.57,1.12,2.09,4.5,2.25,3.87,3.24
North Macedonia,,,,,,5.48,,,,,,,,,
Albania,0.57,0.91,,0.78,,,1.93,2.7,2.64,2.43,2.33,2.69,2.81,2.47,4.01
Serbia,3.76,4.1,5.21,5.21,4.3,1.68,2.17,1.88,2.52,2.87,4.83,6.36,5.67,7.95,5.53
Türkiye,,,,,,,,,7.02,7.92,9.31,10.34,9.32,10.82,11.43
Kosovo*,5.16,4.26,4.03,5.63,,,,,3.16,2.8,2.56,3.4,3.14,,
