Country,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Belgium,10779,10609,10923,11300,10736,11399,6897,6888,7832,8634,8737,9638,9398,10527,10693
Bulgaria,749,726,696,649,686,632,610,603,554,653,575,605,568,547,567
Czechia,1680,1730,1337,1456,1410,1417,1432,1422,1393,1414,1448,1560,1453,1593,1822
Denmark,1812,1671,2010,1866,1904,1843,2368,2611,3793,4795,5540,4895,5370,6343,6296
Germany,56784,49084,36566,36354,36277,35330,34959,34265,37166,34815,40585,40724,41079,41790,49690
Estonia,268,254,178,180,248,240,199,284,271,259,296,355,310,393,363
Ireland,1200,1446,2133,1807,1835,1778,1864,2306,2545,2531,2806,2858,2604,2973,3175
Greece,682,924,511,435,486,468,466,554,493,453,423,303,192,320,411
Spain,10888,9723,9954,9892,9008,8923,9468,7496,8726,9464,11612,13031,11112,14918,16789
France,24031,23253,22963,23871,26783,27778,30959,33283,35464,39690,47736,55223,57828,76594,85571
Croatia,765,664,397,378,343,576,604,605,717,495,589,858,596,891,718
Italy,,,,,,4488,4754,4511,4513,5115,5381,5402,4918,5766,6814
Cyprus,97,78,79,47,33,24,19,21,24,20,29,17,30,63,57
Latvia,,,,,,452,553,466,220,262,295,303,309,335,399
Lithuania,368,362,514,529,441,255,317,263,208,226,219,190,126,147,141
Luxembourg,,360,326,354,398,357,359,328,263,233,227,296,289,348,392
Hungary,464,656,677,629,694,5974,773,1686,600,588,541,385,504,473,587
Malta,80,82,91,69,82,94,77,104,88,78,93,119,89,138,141
Netherlands,10495,10245,5470,5190,4865,4420,4290,4160,4735,4805,5155,4300,4020,4665,5835
Austria,4185,3836,3496,3957,4040,3780,3564,3479,4391,4253,4425,4509,4141,4354,4968
Poland,,,,,,3055,2931,2755,3155,3221,3328,3560,2939,3214,3372
Portugal,2251,2556,2206,2182,2134,2136,2331,2445,2473,2538,2463,2701,2434,2719,3024
Romania,1566,1605,1486,1325,1541,1736,1516,1740,1789,1528,1751,1912,1914,2345,2694
Slovenia,312,375,403,323,289,292,224,172,230,223,187,241,215,238,289
Slovakia,,,,,,645,683,645,656,705,667,698,621,591,600
Finland,2711,2099,2384,3159,3234,2988,2825,2772,3188,3054,3537,4009,4062,5016,5108
Sweden,14058,14998,15537,16095,16174,14891,16910,15237,17681,18874,19272,19960,21144,22598,20940
Iceland,,,,,,731,419,442,498,476,551,658,520,646,622
Liechtenstein,,,,,,6,8,9,9,8,9,6,11,6,14
Norway,3261,3239,3318,3612,3576,3526,3746,4359,5560,5635,5796,5065,5060,5775,5179
Switzerland,,2988,2492,2816,2581,2696,2747,2710,2742,3755,2843,2734,2909,3050,3147
England and Wales,35310,37307,39114,38298,38930,46866,78787,106536,122190,151120,162030,,,,
Scotland (NUTS 2021),4811,4850,5232,6232,6734,8114,8554,9314,10073,11628,12705,,,,
Northern Ireland (UK) (NUTS 2021),1777,1769,1868,1840,1859,2153,2582,2910,3182,3356,3621,,,,
Bosnia and Herzegovina,,,,,,137,134,164,143,158,87,186,194,194,148
Montenegro,40,47,44,24,24,25,31,26,22,23,23,37,27,36,40
North Macedonia,,,,,,151,135,120,114,102,,87,113,93,89
Albania,57,63,60,44,47,87,97,149,120,113,109,154,145,135,169
Serbia,400,412,453,457,395,262,288,251,283,313,461,559,486,662,484
Türkiye,,,,,,,,,,,,,,,
Kosovo*,161,137,122,125,142,201,95,94,99,441,363,153,,,
