Country,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Belgium,101.05,98.66,100.77,102.72,96.77,102.13,61.69,61.3,69.24,76.06,76.65,84.13,81.56,91.11,92.04
Bulgaria,9.96,9.72,9.38,8.81,9.36,8.68,8.42,8.37,7.74,9.19,8.16,8.64,8.17,7.91,8.29
Czechia,16.24,16.59,12.78,13.88,13.42,13.47,13.62,13.49,13.2,13.37,13.65,14.65,13.59,14.89,17.32
Denmark,33.09,30.32,36.32,33.56,34.12,32.9,42.08,46.13,66.46,83.41,95.83,84.31,92.22,108.61,107.19
Germany,69.07,59.86,44.7,45.32,45.16,43.88,43.28,42.2,45.23,42.19,49.02,49.05,49.39,50.26,59.7
Estonia,20.02,19.02,13.35,13.54,18.71,18.18,15.12,21.6,20.59,19.69,22.44,26.8,23.33,29.55,27.26
Ireland,26.91,31.98,46.88,39.53,40.04,38.73,40.19,49.3,53.85,52.9,58.09,58.28,52.45,59.38,62.75
Greece,6.1,8.33,4.59,3.91,4.38,4.25,4.26,5.1,4.57,4.21,3.94,2.83,1.79,3,3.93
Spain,23.84,21.03,21.41,21.2,19.24,19.1,20.36,16.14,18.79,20.34,24.89,27.76,23.48,31.47,35.4
France,37.54,36.14,35.51,36.74,41.03,42.34,46.95,50.06,53.22,59.41,71.63,82.2,85.9,113.21,126.08
Croatia,17.74,15.41,9.23,8.81,8.02,13.51,14.22,14.32,17.11,11.92,14.35,21.05,14.69,22.07,18.59
Italy,,,,,,7.52,7.82,7.42,7.44,8.44,8.9,9.03,8.25,9.73,11.54
Cyprus,12.49,9.79,9.64,5.6,3.83,2.77,2.21,2.48,2.83,2.34,3.36,1.94,3.38,7.03,6.3
Latvia,,,,,,22.33,27.63,23.46,11.17,13.44,15.25,15.78,16.2,17.69,21.27
Lithuania,11.45,11.37,16.36,17.33,14.68,8.58,10.77,9,7.2,7.94,7.8,6.8,4.51,5.26,5.02
Luxembourg,,72.95,64.93,69.16,75.83,66.48,65.31,58.26,45.64,39.45,37.71,48.22,46.16,54.83,60.74
Hungary,4.62,6.54,6.76,6.3,6.99,60.29,7.83,17.11,6.1,6,5.53,3.94,5.16,4.86,6.06
Malta,19.62,19.95,21.98,16.63,19.64,22.31,18.1,24.22,19.54,16.95,19.55,24.11,17.3,26.74,27.06
Netherlands,63.97,62.14,33,31.16,29.08,26.34,25.49,24.61,27.89,28.13,30,24.88,23.09,26.69,33.17
Austria,50.37,46.02,41.86,47.25,48.05,44.72,41.9,40.57,50.53,48.48,50.16,50.9,46.52,48.74,55.33
Poland,,,,,,8.03,7.71,7.25,8.31,8.48,8.76,9.38,7.74,8.49,8.96
Portugal,21.33,24.2,20.86,20.64,20.24,20.37,22.35,23.57,23.91,24.62,23.93,26.28,23.64,26.4,29.21
Romania,7.59,7.85,6.92,6.19,7.67,8.67,7.6,8.76,9.05,7.78,8.97,9.85,9.9,12.21,14.15
Slovenia,15.52,18.45,19.68,15.75,14.06,14.18,10.86,8.33,11.14,10.79,9.04,11.58,10.26,11.29,13.72
Slovakia,,,,,,11.92,12.61,11.9,12.09,12.97,12.25,12.81,11.38,10.82,11.04
Finland,51.15,39.41,44.55,58.77,59.87,55.06,51.82,50.66,58.1,55.49,64.16,72.65,73.52,90.64,92.07
Sweden,153.09,162.03,166.34,170.94,170.56,155.83,175.33,156.32,179.48,188.83,190.43,195.11,204.73,217.72,200.34
Iceland,,,,,,227.12,128.66,134.31,149.76,140.68,158.13,184.32,142.8,175.17,165.32
Liechtenstein,,,,,,16.29,21.55,24.09,23.92,21.16,23.61,15.63,28.39,15.36,35.62
Norway,68.83,67.48,68.29,73.41,71.72,69.8,73.34,84.37,106.7,107.16,109.45,95.06,94.27,107.12,95.46
Switzerland,,38.79,32,35.78,32.44,33.54,33.75,32.9,32.93,44.6,33.51,32,33.8,35.18,36.01
England and Wales,64.65,67.78,70.52,68.47,69.06,82.57,137.79,184.81,210.19,258.05,274.81,,,,
Scotland (NUTS 2021),86.98,92.97,99.72,118.02,126.91,152.52,160.26,173.76,186.92,214.75,233.68,,,,
Northern Ireland (UK) (NUTS 2021),100.37,99.04,103.83,101.68,102.2,117.87,140.53,157.62,171.35,179.79,193.02,,,,
Bosnia and Herzegovina,,,,,,,,,,,,,,,
Montenegro,6.5,7.62,7.11,3.87,3.87,4.03,4.99,4.18,3.54,3.7,3.7,5.95,4.34,5.8,6.48
North Macedonia,,,,,,7.32,6.54,5.8,5.5,4.92,,4.19,5.44,4.5,4.84
Albania,1.8,1.98,,1.55,,,3.35,5.16,4.17,3.93,3.8,5.38,5.09,4.77,6.05
Serbia,5.43,5.62,6.2,6.3,5.47,3.65,4.03,3.53,4,4.45,6.58,8.03,7.02,9.63,7.12
Türkiye,,,,,,,,,,,,,,,
Kosovo*,7.48,6.28,5.53,6.97,,,,,5.59,24.73,20.18,8.52,,,
