Country,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Belgium,23303,21906.0,19851.0,19375,17212.0,15794,15783,19376,17440,15845,14023,12690,9129,9434,10708
Bulgaria,4571,4424.0,3910.0,3217,3063.0,3568,3703,4008,3192,2356,2068,1631,1754,1344,1504
Czechia,31594,68515.0,61379.0,55600,49466.0,53320,41085,30387,9161,8213,7027,6669,6087,3146,3468
Denmark,1750,1999.0,1490.0,1306,1097.0,1069,1006,845,805,814,776,794,886,929,1195
Germany,89036,87693.0,76123.0,70841,64017.0,59528,58401,56563,59633,54114,50440,48557,42906,39172,
Estonia,1035,934.0,870.0,752,620.0,547,597,505,373,180,134,163,108,110,91
Ireland,14461,13311.0,11619.0,10481,8478.0,7359,7764,4902,3397,3457,3723,3585,2584,2777,4109
Greece,23550,26708.0,27587.0,32253,31166.0,28800,24986,26524,26180,35638,24483,21710,15400,14896,18390
Spain,67117,51716.0,53146.0,47661,43153.0,37600,32874,36067,39010,37079,30182,28921,19946,20292,24043
France,211484,207947.0,195367.0,186824,178333.0,173232,169084,168072,161512,,,,,,
Croatia,1927,1828.0,1382.0,1315,1142.0,866,633,760,890,854,923,1827,1509,1671,1703
Italy,229961,213407.0,197583.0,198774,196589.0,183486,176461,165650,156942,145758,141132,131148,101042,110171,125764
Cyprus,1786,1627.0,1705.0,1783,1749.0,1317,1187,961,989,960,,,,,
Latvia,2205,2096.0,1441.0,,910.0,1347,1323,1483,975,342,335,452,771,427,505
Lithuania,2553,1967.0,2060.0,1807,1724.0,1504,1255,1138,1263,999,787,666,568,333,403
Luxembourg,344,419.0,418.0,456,372.0,2285,2240,302,242,288,293,1612,1763,1808,2400
Hungary,7982,8015.0,5866.0,6163,6921.0,5692,4803,3175,,,,,,,
Malta,398,401.0,372.0,364,306.0,325,242,229,256,332,317,245,230,254,310
Netherlands,21665,21850.0,40560.0,40900,39170.0,38460,37445,35915,31260,27750,27175,28650,27620,22475,26825
Austria,9049,9289.0,5150.0,5158,4446.0,11478,10304,9743,9023,5013,4257,3917,3107,2795,3124
Poland,17669,17271.0,16539.0,16575,16230.0,18234,17083,15310,14340,12449,10971,10881,11089,10540,9123
Portugal,25274,22539.0,20310.0,19500,15900.0,14799,13723,12017,11531,10254,9864,9376,8684,7485,8096
Romania,2355,2967.0,2531.0,1881,1627.0,2892,5428,4659,1364,2927,2088,5952,5851,5659,5239
Slovenia,582,586.0,534.0,528,539.0,621,594,775,815,554,543,462,532,332,302
Slovakia,4135,3779.0,3354.0,2694,2546.0,2431,2297,1932,1671,1524,1339,1042,982,938,780
Finland,13804,12188.0,11150.0,11983,8815.0,7581,7982,7380,6269,5851,5726,5598,6466,5590,5503
Sweden,44717,40359.0,35009.0,34471,28926.0,27724,27060,26516,25184,24064,21803,20051,21372,18599,16971
Iceland,427,546.0,450.0,443,335.0,239,392,69,577,80,77,25,29,13,22
Liechtenstein,16,7.0,3.0,1,6.0,5,5,14,31,2,5,4,6,6,14
Norway,11901,12014.0,10858.0,9318,7953.0,6634,6586,5365,4468,4057,4062,3861,4061,3146,4018
Switzerland,,8500.0,7604.0,7540,7690.0,6302,6606,6325,6048,6636,7640,8886,9820,12760,18958
England and Wales,147238,117684.0,106162.0,92056,79820.0,75308,75637,81866,97156,112023,120114,,,,
Scotland (NUTS 2021),11551,9304.0,8716.0,7060,5731.0,5976,5423,5028,5216,5024,4950,,,,
Northern Ireland (UK) (NUTS 2021),3076,2936.0,2823.0,2412,2101.0,2121,2025,1697,1560,1409,1452,,,,
Bosnia and Herzegovina,1725,1738.0,1628.0,1091,1328.0,1376,1361,1278,1029,777,585,499,300,319,207
Montenegro,22,51.0,40.0,48,43.0,39,21,32,38,31,31,28,33,36,33
North Macedonia,581,607.0,527.0,487,371.0,507,542,,,,,,,,
Albania,398,504.0,627.0,611,677.0,572,401,277,298,329,252,318,199,207,119
Serbia,4083,3295.0,3282.0,3370,2761.0,2219,1895,1690,1498,1555,1224,942,711,612,579
Türkiye,,30171.0,28359.0,27465,31013.0,,,,53206,52246,36685,28437,32509,33161,
Kosovo*,463,389.0,339.0,434,316.0,386,223,280,295,233,214,148,116,138,
