Country,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Belgium,245682,249627.0,228355.0,242399,237921.0,224109,208443,246853,232504,223563,222049,227402,157085,166968,195873
Bulgaria,42553,44278.0,50479.0,47323,44462.0,45256,41246,38315,32727,40947,36922,33172,27036,24435,28250
Czechia,148264,139113.0,127021.0,125039,120028.0,126223,104464,85366,71224,66101,59438,59850,45638,26928,34774
Denmark,297206,300515.0,292350.0,291387,281515.0,269086,250773,225868,225511,213924,182819,170043,142042,124628,146613
Germany,2052913,1308687.0,1219983.0,1276065,1267576.0,1289071,1322144,1348955,1290481,1156422,1082478,1025321,931793,835368,1043887
Estonia,23506,24835.0,25253.0,20175,18628.0,16465,15738,11354,8982,7633,7403,6804,6863,7513,8027
Ireland,76821,76913.0,76653.0,76669,76113.0,78431,77619,72716,62017,66923,64473,65405,48785,44553,62282
Greece,53928,60249.0,67446.0,70517,62447.0,53810,50710,55151,57158,92666,80351,85825,60947,58937,71130
Spain,237525,217648.0,144618.0,155122,165297.0,163464,155253,205751,163077,162426,168203,175850,104521,124302,181687
France,962583,1383325.0,1172553.0,1163793,1173885.0,1390001,1429398,1397363,1464569,1453593,1421318,1440130,1144181,1180970,1333128
Croatia,15300,14095.0,13575.0,15929,17248.0,14051,12043,13547,12739,12413,12190,11862,10418,10325,11087
Italy,1223105,1152323.0,944025.0,1038883,1066669.0,1303355,1317327,1229103,1132814,1069965,1016570,906552,612230,702153,844951
Cyprus,3191,2912.0,1670.0,1697,1567.0,1272,990,943,731,959,716,642,513,527,613
Latvia,25844,29163.0,25659.0,,21341.0,20623,20578,19387,14570,14534,14047,13111,12799,7900,9621
Lithuania,29610,30379.0,26530.0,27299,23478.0,27952,27895,22783,19963,17040,12833,10902,9447,7736,9628
Luxembourg,7021,7079.0,7218.0,8775,9243.0,10334,10259,9193,9954,10090,10312,9925,9258,10902,16264
Hungary,127125,125247.0,161051.0,157234,159047.0,124276,106939,111326,93592,80335,64190,56967,50441,42428,48616
Malta,6646,5480.0,6365.0,6995,7148.0,7077,6763,7370,7484,6786,5109,5187,3414,3504,3584
Netherlands,704160,703315.0,379465.0,392910,392775.0,391945,365370,335120,304055,259095,233985,233860,204740,183955,233055
Austria,174008,170683.0,150728.0,144326,146520.0,154002,148263,140254,143531,131717,118802,115423,84734,73213,97139
Poland,214414,208194.0,203916.0,230247,230751.0,212143,168567,145212,126392,106923,98833,102585,98519,108720,120901
Portugal,126956,121199.0,95064.0,98398,102271.0,94902,91041,98434,89305,88541,87569,82120,65159,63954,73365
Romania,41874,49398.0,48828.0,47322,56732.0,57557,164396,108439,92099,96154,100407,66801,62077,64509,59293
Slovenia,28765,28566.0,28911.0,30677,33905.0,34942,30103,22798,21394,20539,18580,26283,24429,18128,21548
Slovakia,33743,31549.0,41814.0,37613,34730.0,33872,29816,24091,22130,20295,17232,14796,14003,11962,13598
Finland,139476,141266.0,136935.0,139868,126244.0,137219,137465,132978,126734,121178,118193,122731,134831,124104,124826
Sweden,436446,425878.0,402974.0,415029,408420.0,410762,399432,399646,375396,360113,334286,329054,311038,288987,298778
Iceland,4718,5589.0,4920.0,4203,4147.0,4102,3670,4032,3472,3822,3285,3476,3503,3760,3414
Liechtenstein,178,201.0,174.0,184,197.0,233,214,193,196,149,162,178,133,184,254
Norway,150703,160063.0,151234.0,148128,155365.0,145940,132018,114828,104507,94179,92320,94544,86519,79133,99312
Switzerland,120817,183916.0,174349.0,203381,215178.0,197389,174601,157911,146359,141504,131546,132646,121322,117586,138970
England and Wales,1592758,1591975.0,1478601.0,1481675,1361329.0,1326649,1339640,1357563,1467499,1573004,1593128,,,,
Scotland (NUTS 2021),117033,115891.0,107894.0,108956,94551.0,101870,95021,86748,84867,86543,86569,,,,
Northern Ireland (UK) (NUTS 2021),24380,28608.0,23579.0,24480,23824.0,27289,26831,25707,24041,23407,24178,,,,
Bosnia and Herzegovina,8180,6740.0,11362.0,6737,6675.0,6477,5931,4874,4491,4143,3561,3718,3669,3161,3087
Montenegro,794,656.0,530.0,673,857.0,739,892,827,506,503,440,413,320,337,340
North Macedonia,6627,5744.0,5423.0,5552,6034.0,5530,4983,,,,,,,,
Albania,3596,3577.0,3978.0,4621,5344.0,5255,7961,7012,5641,5096,5414,4833,3162,3342,2458
Serbia,19863,17833.0,15912.0,17529,17900.0,30882,26754,24483,22431,20752,18781,18072,15228,17363,17574
Türkiye,,174545.0,207945.0,209866,239926.0,,,,,,250668,216670,198115,210246,242527
Kosovo*,15466,13771.0,15234.0,17141,16292.0,16962,8228,12295,12593,5569,5569,4835,4224,4621,
