Country,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Belgium,14854,14960,14750,13825,11334,11419,55132,52657,55581,58254,59786,63745,61799,56440,56234
Bulgaria,2857,3662,3765,2859,2960,3052,3239,4010,4738,4989,5536,5470,4915,4914,5356
Czechia,2812,3046,3010,3635,3814,5117,5597,5549,5567,5599,5465,4819,4191,4196,4200
Denmark,20260,19158,19587,23074,23141,25782,28093,24813,23683,27684,30170,32954,31221,28666,31269
Germany,239951,235842,231007,236478,237150,253525,276734,282604,302594,330580,350662,359747,365753,361048,340677
Estonia,7671,4241,2977,3821,4616,4638,4052,4982,5653,5808,4505,3998,3701,3620,3130
Ireland,23356,21872,19793,17572,16381,15326,15863,14553,15310,16267,17734,20596,22173,19193,16664
Greece,12164,12640,10451,9786,10144,10473,10855,10787,11086,12795,13528,13595,12823,11978,12025
Spain,14564,14343,14391,15220,14509,14296,13411,12069,12448,12958,14133,16624,17112,18313,19057
France,6128,6007,5869,5928,5902,6455,6895,7483,241887,227143,247111,244634,217736,288717,331773
Croatia,7882,7063,7784,7767,7295,2683,2707,2842,11617,11811,11199,11198,9216,8951,9185
Italy,34082,34101,32761,34034,33852,33578,32718,31786,35189,38339,38776,37698,33876,29867,29153
Cyprus,779,706,851,936,1030,996,1080,930,876,940,1142,1032,846,838,1025
Latvia,2512,2307,2189,1967,2750,1637,2697,3529,2663,2989,2607,2355,1975,1463,1266
Lithuania,1837,2189,2214,2256,3006,2354,2587,2524,2288,2622,3220,3079,2940,3145,3080
Luxembourg,1343,2232,2574,2941,2583,3222,4190,4675,3981,2683,3003,4238,4619,3773,3586
Hungary,5464,4517,5789,5989,5213,5408,6123,6028,5758,6462,8021,6542,6504,6971,7418
Malta,180,187,181,178,203,208,192,157,217,310,348,159,168,607,210
Netherlands,18875,18580,16715,15885,16145,16085,15193,13825,12450,11720,12480,13925,12800,11595,11705
Austria,1980,2099,2167,2320,1990,27231,29164,33080,36235,42699,41177,43767,40785,35461,35232
Poland,57382,68288,72375,74535,76358,71939,63806,55018,60449,64652,60073,66831,66550,69623,70106
Portugal,3729,4267,4555,4214,4638,4650,4751,5298,5746,6481,6540,5749,3966,4441,6459
Romania,3621,3228,3852,3456,2872,2459,2407,5053,4473,6129,8486,8101,6610,7819,9243
Slovenia,1434,2096,1756,1505,1760,1712,1662,1737,1437,1624,1517,1372,1496,1418,1382
Slovakia,538,613,624,762,759,1930,1609,1750,1493,1480,1573,1723,1513,1806,1540
Finland,15482,18524,19724,20394,20102,22656,21781,23433,25121,27639,29176,32343,37124,28276,25206
Sweden,79795,82008,90070,91997,97379,99175,98219,96558,93547,102658,108685,115388,126245,120233,115875
Iceland,1461,1290,1500,1733,1874,2134,2350,1880,1846,2169,2240,2174,1730,1686,1710
Liechtenstein,210,357,531,434,257,432,378,276,446,490,713,793,1058,478,466
Norway,36137,37756,44015,41271,44148,47286,45368,41598,36184,33585,31633,28793,25798,17518,14954
Switzerland,47590,85742,89173,91211,92862,97289,80986,86128,83268,80074,76308,75757,68600,60887,55304
England and Wales,29885,33223,32336,31316,29746,29348,28139,25982,25316,26574,29826,,,,
Scotland (NUTS 2021),10315,9901,7138,6684,5431,35542,36740,35375,32529,32295,34714,,,,
Northern Ireland (UK) (NUTS 2021),607,631,742,806,912,4446,4950,5381,5492,6246,6828,,,,
Bosnia and Herzegovina,1519,52,38,54,43,20,70,82,747,767,2810,3300,3756,4125,4102
Montenegro,460,398,307,316,187,172,179,184,206,231,246,297,281,347,313
North Macedonia,415,551,578,589,594,,22,17,31,,,896,733,701,749
Albania,653,647,603,740,1105,1334,1776,2330,3257,2087,1926,2011,2099,3119,2926
Serbia,6049,5500,5573,4941,4774,5648,6217,5706,7020,8407,10215,11150,10772,9760,10585
Türkiye,,,,,,,,,,,,,,,
Kosovo*,314,364,482,535,554,533,649,401,586,1328,1541,1483,1213,315,
