Country,Year,Acts against computer systems (number),Attempted intentional homicide (number),Bribery (number),Burglary of private residential premises (number),Burglary (number),Child pornography (number),Corruption (number),Fraud (number),Intentional homicide (number),Kidnapping (number),Money laundering (number),Participation in an organized criminal group (number),Rape (number),Robbery (number),Serious assault (number),Sexual assault (number),Sexual exploitation (number),Sexual violence (number),Theft of a motorized vehicle or parts thereof (number),Theft (number),Unlawful acts involving controlled drugs or precursors (number),Total Crimes number,Acts against computer systems (per100k),Attempted intentional homicide (per100k),Bribery (per100k),Burglary of private residential premises (per100k),Burglary (per100k),Child pornography (per100k),Corruption (per100k),Fraud (per100k),Intentional homicide (per100k),Kidnapping (per100k),Money laundering (per100k),Participation in an organized criminal group (per100k),Rape (per100k),Robbery (per100k),Serious assault (per100k),Sexual assault (per100k),Sexual exploitation (per100k),Sexual violence (per100k),Theft of a motorized vehicle or parts thereof (per100k),Theft (per100k),Unlawful acts involving controlled drugs or precursors (per100k),Total Crimes per100k
Albania,2008,,242.0,,697.0,144.0,,,,88.0,10.0,,,39.0,144.0,363.0,18.0,,57.0,398.0,3596.0,653.0,6449.0,,7.63,,21.99,4.54,,,,2.78,0.32,,,1.23,4.54,11.45,0.57,,1.8,12.56,100.88,20.6,190.89
Albania,2009,,231.0,,757.0,169.0,,,,82.0,5.0,,,34.0,169.0,379.0,29.0,,63.0,504.0,3577.0,647.0,6646.0,,7.25,,23.77,5.31,,,,2.57,0.16,,,1.07,5.31,11.9,0.91,,1.98,15.83,96.49,20.32,192.87
Albania,2010,,211.0,,957.0,231.0,,,,118.0,9.0,,,24.0,236.0,178.0,36.0,,60.0,627.0,3978.0,603.0,7268.0,,,,,,,,,,,,,,,,,,,,,,0.0
Albania,2011,,214.0,,979.0,265.0,,,,124.0,2.0,,,22.0,268.0,169.0,22.0,,44.0,611.0,4621.0,740.0,8081.0,,7.56,,34.57,9.36,,,,4.38,0.07,,,0.78,9.46,5.97,0.78,,1.55,21.58,163.19,26.13,285.38
Albania,2012,,220.0,,1238.0,322.0,,,,125.0,2.0,,,24.0,326.0,156.0,23.0,,47.0,677.0,5344.0,1105.0,9609.0,,,,,,,,,,,,,,,,,,,,,,0.0
Albania,2013,,206.0,,1277.0,365.0,,,,107.0,5.0,,,39.0,371.0,163.0,50.0,,87.0,572.0,5255.0,1334.0,9831.0,,,,,,,,,,,,,,,,,,,,,,0.0
Albania,2014,,181.0,,1657.0,295.0,,,,98.0,2.0,,,41.0,297.0,132.0,56.0,,97.0,401.0,7961.0,1776.0,12994.0,,6.25,,57.21,10.18,,,,3.38,0.07,,,1.41,10.25,4.55,1.93,,3.35,13.84,274.9,61.32,448.63999999999993
Albania,2015,,138.0,,1387.0,231.0,,,,54.0,8.0,,,71.0,234.0,169.0,78.0,,149.0,277.0,7012.0,2330.0,12138.0,,4.78,,47.95,7.98,,,,1.86,0.27,,,2.46,8.11,5.84,2.7,,5.16,9.57,242.98,80.74,420.4
Albania,2016,84.0,132.0,256.0,1216.0,151.0,5.0,1032.0,913.0,71.0,4.0,365.0,10.0,44.0,159.0,118.0,76.0,105.0,120.0,298.0,5641.0,3257.0,14057.0,2.92,4.57,8.9,42.13,5.23,0.17,35.89,31.75,2.46,0.13,12.69,0.35,1.53,5.53,4.08,2.64,3.65,4.17,10.32,196.17,113.26,488.53999999999996
Albania,2017,77.0,129.0,297.0,1145.0,,4.0,1154.0,1018.0,52.0,2.0,379.0,13.0,43.0,183.0,125.0,70.0,121.0,113.0,329.0,5096.0,2087.0,12437.0,2.68,4.48,10.32,39.8,,0.14,40.12,35.39,1.81,0.07,13.18,0.45,1.49,6.36,4.35,2.43,4.21,3.93,11.44,177.15,72.55,432.35
Albania,2018,67.0,114.0,274.0,1218.0,,3.0,1033.0,941.0,51.0,5.0,351.0,32.0,42.0,133.0,135.0,67.0,96.0,109.0,252.0,5414.0,1926.0,12263.0,2.33,3.97,9.55,42.43,,0.1,35.99,32.78,1.78,0.17,12.23,1.11,1.46,4.63,4.7,2.33,3.34,3.8,8.78,188.62,67.1,427.20000000000005
