Country,Year,Acts against computer systems (number),Attempted intentional homicide (number),Bribery (number),Burglary (number),Child pornography (number),Corruption (number),Fraud (number),Intentional homicide (number),Kidnapping (number),Money laundering (number),Participation in an organized criminal group (number),Robbery (number),Sexual exploitation (number),Sexual violence (number),Theft (number),Unlawful acts involving controlled drugs or precursors (number),Total Crimes number,Acts against computer systems (per100k),Attempted intentional homicide (per100k),Bribery (per100k),Burglary (per100k),Child pornography (per100k),Corruption (per100k),Fraud (per100k),Intentional homicide (per100k),Kidnapping (per100k),Money laundering (per100k),Participation in an organized criminal group (per100k),Robbery (per100k),Sexual exploitation (per100k),Sexual violence (per100k),Theft (per100k),Unlawful acts involving controlled drugs or precursors (per100k),Total Crimes per100k,Migration Data
Austria,2012,,109.0,,85238.0,,,,88.0,11.0,,,4092.0,,4040.0,146520.0,1990.0,242088.0,,1.3,,1013.76,,,,1.05,0.13,,,48.67,,48.05,1742.6,23.67,2879.23,125605.0
Austria,2013,,105.0,,88703.0,,,,63.0,4.0,,,3737.0,,3780.0,154002.0,27231.0,277625.0,,1.24,,1049.51,,,,0.75,0.05,,,44.22,,44.72,1822.11,322.19,3284.7899999999995,135228.0
Austria,2014,,70.0,,85487.0,,,,43.0,1.0,,,3481.0,,3564.0,148263.0,29164.0,270073.0,,0.82,,1004.91,,,,0.51,0.01,,,40.92,,41.9,1742.86,342.83,3174.7599999999998,154260.0
Austria,2015,,96.0,,79152.0,,,,42.0,3.0,,,3416.0,,3479.0,140254.0,33080.0,259522.0,,1.12,,922.92,,,,0.49,0.03,,,39.79,,40.57,1635.37,385.72,3026.01,198658.0
Austria,2016,13103.0,99.0,20.0,80503.0,685.0,3151.0,32543.0,49.0,2.0,562.0,57.0,3103.0,835.0,4391.0,143531.0,36235.0,318869.0,150.6,1.14,0.23,926.38,7.87,36.22,374.04,0.56,0.02,6.46,0.66,35.66,9.6,50.53,1651.67,416.97,3668.6099999999997,158746.0
Austria,2017,3187.0,151.0,30.0,69259.0,740.0,3209.0,35050.0,61.0,3.0,622.0,74.0,2610.0,927.0,4253.0,131717.0,42699.0,294592.0,36.33,1.72,0.34,789.47,8.44,36.58,399.53,0.7,0.03,7.09,0.84,29.75,10.57,48.48,1501.41,486.72,3358.0,139329.0
Austria,2018,2762.0,131.0,24.0,58637.0,1172.0,3113.0,37859.0,73.0,5.0,666.0,79.0,2396.0,1358.0,4425.0,118802.0,41177.0,272679.0,31.31,1.48,0.27,664.65,13.28,35.29,429.13,0.83,0.06,7.55,0.9,27.16,15.39,50.16,1346.62,466.74,3090.8199999999997,131724.0
Austria,2019,7292.0,171.0,38.0,54324.0,1681.0,3158.0,49627.0,74.0,6.0,430.0,119.0,2628.0,1859.0,4509.0,115423.0,43767.0,285106.0,82.31,1.93,0.43,613.22,18.98,35.65,560.2,0.84,0.07,4.85,1.34,29.67,20.98,50.9,1302.92,494.05,3218.34,134966.0
Austria,2020,12585.0,133.0,37.0,48437.0,1710.0,2879.0,54410.0,54.0,3.0,527.0,94.0,2137.0,1917.0,4141.0,84734.0,40785.0,254583.0,141.39,1.49,0.42,544.17,19.21,32.34,611.28,0.61,0.03,5.92,1.06,24.01,21.54,46.52,951.95,458.2,2860.1400000000003,121311.0
Austria,2021,15089.0,121.0,57.0,40385.0,1930.0,2915.0,57407.0,59.0,3.0,742.0,90.0,2118.0,2115.0,4354.0,73213.0,35461.0,236059.0,168.92,1.35,0.64,452.1,21.61,32.63,642.66,0.66,0.03,8.31,1.01,23.71,23.68,48.74,819.61,396.98,2642.6400000000003,139543.0
Austria,2022,21974.0,134.0,148.0,49592.0,,3085.0,70429.0,65.0,9.0,755.0,88.0,2536.0,2239.0,4968.0,97139.0,35232.0,288393.0,244.73,1.49,1.65,552.32,,34.36,784.38,0.72,0.1,8.41,0.98,28.24,24.94,55.33,1081.86,392.39,3211.9,246265.0
Belgium,2012,,836.0,,102451.0,,,,206.0,1185.0,,,25608.0,,10736.0,237921.0,11334.0,390277.0,,7.55,,923.41,,,,1.86,10.68,,,230.81,,96.77,2144.43,102.16,3517.67,116055.0
Belgium,2013,,809.0,,99934.0,,,,204.0,1163.0,,,22879.0,,11399.0,224109.0,11419.0,371916.0,,7.26,,895.33,,,,1.83,10.42,,,204.98,,102.13,2007.85,102.31,3332.1099999999997,105529.0
Belgium,2014,,849.0,,96419.0,,,,210.0,1151.0,,,21928.0,,6897.0,208443.0,55132.0,391029.0,,7.59,,862.36,,,,1.88,10.29,,,196.12,,61.69,1864.29,493.09,3497.31,106345.0
Belgium,2015,,880.0,,91761.0,,,,231.0,1171.0,,,20278.0,,6888.0,246853.0,52657.0,420719.0,,7.83,,816.58,,,,2.06,10.42,,,180.45,,61.3,2196.73,468.59,3743.96,128762.0
Belgium,2016,3660.0,881.0,96.0,78953.0,1323.0,5158.0,55597.0,175.0,1201.0,882.0,242.0,18678.0,2510.0,7832.0,232504.0,55581.0,465273.0,32.36,7.79,0.85,698.01,11.7,45.6,491.53,1.55,10.62,7.8,2.14,165.13,22.19,69.24,2055.54,491.38,4113.429999999999,106087.0
